# y_plus_values_1, u_plus_values_1
0.298839, 0.298315
0.896518, 0.894948
1.494195, 1.338369
2.091873, 1.751513
2.689551, 2.164651
3.287229, 2.525426
3.884907, 2.834852
4.482586, 3.144277
5.080274, 3.438729
5.677952, 3.662619
6.275630, 3.886508
6.873308, 4.110377
7.470986, 4.289247
8.068664, 4.459837
8.666342, 4.630427
9.264020, 4.783733
9.861698, 4.920739
10.459366, 5.057746
11.057044, 5.190572
11.654722, 5.304969
12.252400, 5.419365
12.850079, 5.533762
13.447757, 5.634371
14.045435, 5.732649
14.643113, 5.830907
15.240791, 5.922855
15.838469, 6.009054
16.436147, 6.095274
17.033825, 6.179664
17.631503, 6.256538
18.229181, 6.333412
18.826859, 6.410286
19.424537, 6.480689
20.022215, 6.550106
20.619893, 6.619524
21.217572, 6.685686
21.815250, 6.749014
22.412928, 6.812342
23.010606, 6.874625
23.608284, 6.932889
24.205962, 6.991172
24.803640, 7.049436
25.401318, 7.103941
25.998996, 7.157944
26.596674, 7.211926
27.194352, 7.263919
27.792030, 7.314244
28.389708, 7.364549
28.987386, 7.414190
29.585065, 7.461340
30.182743, 7.508489
30.780421, 7.555638
31.378099, 7.600336
31.975777, 7.644692
32.573455, 7.689067
33.171133, 7.732077
33.768811, 7.774001
34.366489, 7.815905
34.964167, 7.857346
35.561845, 7.897079
36.159523, 7.936813
36.757201, 7.976546
37.354879, 8.014551
37.952558, 8.052355
38.550236, 8.090139
39.147914, 8.126938
39.745592, 8.162973
40.343270, 8.199008
40.940948, 8.234662
41.538626, 8.269109
42.136304, 8.303537
42.733982, 8.337984
43.331660, 8.371126
43.929338, 8.404126
44.527016, 8.437107
45.124694, 8.469343
45.722372, 8.501018
46.320051, 8.532692
46.917729, 8.564064
47.515407, 8.594533
48.113085, 8.625001
48.710763, 8.655449
49.308441, 8.684892
49.906218, 8.714235
50.503897, 8.743578
51.101575, 8.772317
51.699253, 8.800635
52.296931, 8.828953
52.894609, 8.857009
53.492287, 8.884363
54.089965, 8.911736
54.687643, 8.939089
55.285321, 8.965618
55.882999, 8.992087
56.480677, 9.018555
57.078355, 9.044522
57.676033, 9.070167
58.273711, 9.095791
58.871390, 9.121235
59.469068, 9.146096
60.066746, 9.170957
60.664424, 9.195838
61.262102, 9.220016
61.859780, 9.244153
62.457458, 9.268290
63.055136, 9.292006
63.652814, 9.315460
64.250492, 9.338934
64.848170, 9.362207
65.445848, 9.385038
66.043526, 9.407849
66.641204, 9.430680
67.238883, 9.452929
67.836561, 9.475137
68.434239, 9.497345
69.031917, 9.519211
69.629595, 9.540877
70.227273, 9.562522
70.824951, 9.584006
71.422629, 9.605109
72.020307, 9.626232
72.617985, 9.647334
73.215663, 9.667955
73.813341, 9.688555
74.411019, 9.709155
75.008697, 9.729454
75.606376, 9.749552
76.204054, 9.769670
76.801732, 9.789667
77.399410, 9.809323
77.997088, 9.828978
78.594766, 9.848634
79.192444, 9.867867
79.790122, 9.887081
80.387800, 9.906294
80.985478, 9.925246
81.583156, 9.944058
82.180834, 9.962870
82.778512, 9.981540
83.376190, 9.999950
83.973869, 10.018339
84.571547, 10.036749
85.169225, 10.054797
85.766903, 10.072824
86.364581, 10.090852
86.962259, 10.108639
87.559937, 10.126305
88.157615, 10.143971
88.755293, 10.161516
89.352971, 10.178840
89.950649, 10.196165
90.548327, 10.213489
91.146005, 10.230492
91.743683, 10.247474
92.341362, 10.264457
92.939040, 10.281238
93.536718, 10.297899
