# y_plus_values_1, u_plus_values_1
0.304434, 0.303460
0.913303, 0.910379
1.522170, 1.355352
2.131038, 1.768324
2.739907, 2.181291
3.348775, 2.537705
3.957643, 2.838681
4.566511, 3.139638
5.175389, 3.425957
5.784257, 3.643206
6.393126, 3.860455
7.001994, 4.077704
7.610862, 4.252340
8.219730, 4.419164
8.828598, 4.585987
9.437466, 4.736456
10.046334, 4.871556
10.655192, 5.006636
11.264061, 5.137771
11.872929, 5.251387
12.481797, 5.365003
13.090665, 5.478639
13.699533, 5.579076
14.308401, 5.677264
14.917269, 5.775472
15.526138, 5.867564
16.135006, 5.954172
16.743874, 6.040760
17.352742, 6.125573
17.961610, 6.203125
18.570478, 6.280658
19.179346, 6.358190
19.788215, 6.429469
20.397083, 6.499761
21.005951, 6.570054
21.614819, 6.637170
22.223687, 6.701504
22.832555, 6.765838
23.441423, 6.829167
24.050292, 6.888549
24.659160, 6.947912
25.268028, 7.007294
25.876896, 7.062968
26.485764, 7.118129
27.094632, 7.173289
27.703500, 7.226477
28.312368, 7.278008
28.921237, 7.329558
29.530105, 7.380418
30.138973, 7.428831
30.747841, 7.477225
31.356709, 7.525619
31.965577, 7.571566
32.574445, 7.617198
33.183314, 7.662830
33.792182, 7.707100
34.401050, 7.750306
35.009918, 7.793511
35.618786, 7.836223
36.227654, 7.877238
36.836522, 7.918254
37.445391, 7.959289
38.054259, 7.998548
38.663127, 8.037611
39.271995, 8.076692
39.880863, 8.114768
40.489731, 8.152075
41.098599, 8.189381
41.707468, 8.226313
42.316336, 8.262041
42.925204, 8.297749
43.534072, 8.333477
44.142940, 8.367884
44.751808, 8.402132
45.360676, 8.436401
45.969545, 8.469899
46.578413, 8.502826
47.187281, 8.535773
47.796149, 8.568403
48.405017, 8.600107
49.013885, 8.631810
49.622753, 8.663514
50.231622, 8.694192
50.840591, 8.724790
51.449459, 8.755370
52.058327, 8.785337
52.667195, 8.814890
53.276064, 8.844424
53.884932, 8.873720
54.493800, 8.902307
55.102668, 8.930873
55.711536, 8.959440
56.320404, 8.987198
56.929272, 9.014857
57.538141, 9.042536
