# y_plus_values_1, u_plus_values_1
0.298660, 0.298402
0.895981, 0.895205
1.493300, 1.490311
2.090621, 2.085087
2.687941, 2.679855
3.285261, 3.268208
3.882581, 3.850246
4.479901, 4.432305
5.077231, 5.004610
5.674551, 5.530904
6.271871, 6.057198
6.869192, 6.583492
7.466512, 7.024139
8.063832, 7.449079
8.661152, 7.874020
9.258472, 8.247801
9.855792, 8.573399
10.453103, 8.898997
11.050423, 9.211021
11.647743, 9.463319
12.245063, 9.715637
12.842383, 9.967935
13.439703, 10.176876
14.037023, 10.378477
14.634344, 10.580077
15.231664, 10.762996
15.828984, 10.928983
16.426304, 11.094969
17.023624, 11.255928
17.620944, 11.396094
18.218264, 11.536279
18.815585, 11.676445
19.412905, 11.799879
20.010225, 11.920699
20.607545, 12.041498
21.204865, 12.154334
21.802185, 12.260213
22.399505, 12.366111
22.996826, 12.469576
23.594146, 12.563650
24.191466, 12.657723
24.788786, 12.751777
25.386106, 12.837505
25.983426, 12.922027
26.580746, 13.006548
27.178067, 13.086787
27.775387, 13.163445
28.372707, 13.240104
28.970027, 13.315375
29.567347, 13.385478
30.164667, 13.455580
30.761987, 13.525683
31.359308, 13.590879
31.956628, 13.655412
32.553948, 13.719964
33.151268, 13.781862
33.748588, 13.841649
34.345908, 13.901435
34.943228, 13.960297
35.540549, 14.015961
36.137869, 14.071625
36.735189, 14.127289
37.332509, 14.179735
37.929829, 14.231819
38.527149, 14.283884
39.124469, 14.334158
39.721790, 14.383045
40.319110, 14.431952
40.916430, 14.480196
41.513750, 14.526267
42.111070, 14.572359
42.708390, 14.618451
43.305710, 14.662270
43.903031, 14.705868
44.500351, 14.749446
45.097671, 14.791737
45.694991, 14.833083
46.292311, 14.874409
46.889631, 14.915252
47.486951, 14.954566
48.084272, 14.993861
48.681592, 15.033176
49.278912, 15.070801
49.876331, 15.108266
50.473652, 15.145730
51.070972, 15.182210
51.668292, 15.218025
52.265612, 15.253821
52.862932, 15.289214
53.460252, 15.323481
54.057572, 15.357748
54.654893, 15.391995
55.252213, 15.424975
55.849533, 15.457835
56.446853, 15.490694
57.044173, 15.522789
57.641493, 15.554362
58.238813, 15.585934
58.836134, 15.617185
59.433454, 15.647571
60.030774, 15.677937
60.628094, 15.708323
61.225414, 15.737663
61.822734, 15.766943
62.420054, 15.796203
63.017375, 15.824859
63.614695, 15.853093
64.212015, 15.881348
64.809335, 15.909320
65.406655, 15.936629
66.003975, 15.963918
66.601295, 15.991207
67.198616, 16.017652
67.795936, 16.044056
