# y_plus_values_1, u_plus_values_1
0.300033, 0.299396
0.900099, 0.898187
1.500164, 1.495116
2.100230, 2.091681
2.700295, 2.688232
3.300361, 3.277236
3.900426, 3.858834
4.500492, 4.440431
5.100567, 5.011199
5.700633, 5.530922
6.300699, 6.050624
6.900764, 6.570346
7.500830, 7.002631
8.100895, 7.418881
8.700961, 7.835132
9.301026, 8.202639
9.901092, 8.524225
10.501148, 8.845811
11.101213, 9.154846
11.701279, 9.408552
12.301344, 9.662258
12.901410, 9.915963
13.501475, 10.128613
14.101541, 10.334296
14.701607, 10.539979
15.301672, 10.727205
15.901738, 10.897737
16.501803, 11.068269
17.101869, 11.233656
17.701934, 11.377884
18.302000, 11.522133
18.902066, 11.666361
19.502131, 11.793234
20.102197, 11.917404
20.702262, 12.041575
21.302328, 12.157378
21.902393, 12.265934
22.502459, 12.374471
23.102525, 12.480505
23.702590, 12.576791
24.302656, 12.673097
24.902721, 12.769382
25.502787, 12.857141
26.102852, 12.943698
26.702918, 13.030255
27.302984, 13.112468
27.903049, 13.191058
28.503115, 13.269648
29.103180, 13.346796
29.703246, 13.418720
30.303311, 13.490644
30.903377, 13.562568
31.503443, 13.629488
32.103508, 13.695747
32.703574, 13.762006
33.303639, 13.825562
33.903705, 13.886977
34.503771, 13.948372
35.103836, 14.008825
35.703902, 14.066016
36.303967, 14.123207
36.904033, 14.180398
37.504098, 14.234286
38.104164, 14.287794
38.704230, 14.341301
39.304295, 14.392987
39.904361, 14.443232
40.504426, 14.493497
41.104492, 14.543081
41.704557, 14.590483
42.304623, 14.637865
42.904689, 14.685247
43.504754, 14.730307
44.104820, 14.775107
44.704885, 14.819927
45.304951, 14.863406
45.905016, 14.905904
46.505082, 14.948401
47.105148, 14.990399
47.705213, 15.030815
48.305279, 15.071211
48.905344, 15.111627
49.505410, 15.150321
50.105575, 15.188835
50.705641, 15.227350
51.305707, 15.264863
51.905772, 15.301676
52.505838, 15.338468
53.105903, 15.374881
53.705969, 15.410092
54.306034, 15.445324
54.906100, 15.480555
55.506166, 15.514445
56.106231, 15.548215
56.706297, 15.582005
57.306362, 15.614995
57.906428, 15.647443
58.506493, 15.679892
59.106559, 15.712001
59.706625, 15.743229
60.306690, 15.774436
60.906756, 15.805664
61.506821, 15.835811
62.106887, 15.865878
62.706952, 15.895965
63.307018, 15.925391
63.907084, 15.954417
64.507149, 15.983442
65.107215, 16.012188
65.707280, 16.040213
66.307346, 16.068258
66.907411, 16.096283
67.507477, 16.123447
68.107543, 16.150551
68.707608, 16.177675
69.307674, 16.204239
69.907739, 16.230482
70.507805, 16.256746
71.107870, 16.282749
71.707936, 16.308191
72.308002, 16.333654
72.908067, 16.359097
73.508133, 16.383819
74.108198, 16.408501
74.708264, 16.433183
75.308329, 16.457404
75.908395, 16.481385
76.508461, 16.505347
77.108526, 16.529108
77.708592, 16.552409
78.308657, 16.575709
78.908723, 16.598990
79.508788, 16.621670
80.108854, 16.644330
80.708920, 16.666991
81.308985, 16.689270
81.909051, 16.711310
82.509116, 16.733370
83.109182, 16.755249
83.709248, 16.776748
84.309313, 16.798247
84.909379, 16.819727
85.509444, 16.840685
86.109510, 16.861624
86.709575, 16.882582
87.309641, 16.903181
87.909707, 16.923619
88.509772, 16.944057
89.109838, 16.964335
89.709903, 16.984273
90.309969, 17.004231
90.910034, 17.024168
91.510100, 17.043646
92.110166, 17.063123
92.710231, 17.082600
93.310297, 17.101798
93.910362, 17.120834
94.510428, 17.139871
95.110493, 17.158768
95.710559, 17.177385
96.310625, 17.196001
96.910690, 17.214598
97.510756, 17.232814
98.110821, 17.251030
98.710887, 17.269227
99.310952, 17.287182
99.911018, 17.304998
100.511483, 17.322814
101.110949, 17.340510
101.711415, 17.357965
102.310881, 17.375421
102.911346, 17.392857
103.511811, 17.409952
104.111277, 17.427047
104.711742, 17.444142
105.311209, 17.461017
105.911674, 17.477772
106.512139, 17.494527
107.111605, 17.511162
107.712070, 17.527596
108.311536, 17.544031
108.912002, 17.560446
109.512467, 17.576560
110.111933, 17.592674
110.712398, 17.608789
111.311864, 17.624703
111.912329, 17.640517
112.512795, 17.656331
113.112261, 17.672045
113.712726, 17.687579
114.312192, 17.703093
114.912657, 17.718606
115.513123, 17.733860
116.112589, 17.749093
116.713054, 17.764347
117.312520, 17.779400
117.912985, 17.794374
118.513450, 17.809347
