# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-4.42990583e-03 2.35221300e-28 0.00000000e+00)	(-4.42990583e-03 2.35221300e-28 0.00000000e+00)
0.5             	bot_wall	(-4.42990835e-03 2.86767027e-20 0.00000000e+00)	(-4.42990835e-03 2.86767027e-20 0.00000000e+00)
1               	top_wall	(-3.94800810e-03 1.27938720e-28 0.00000000e+00)	(-3.94800810e-03 1.27938720e-28 0.00000000e+00)
1               	bot_wall	(-3.94800398e-03 -5.83945932e-20 0.00000000e+00)	(-3.94800398e-03 -5.83945932e-20 0.00000000e+00)
1.5             	top_wall	(-3.61928982e-03 7.85687775e-29 0.00000000e+00)	(-3.61928982e-03 7.85687775e-29 0.00000000e+00)
1.5             	bot_wall	(-3.61928601e-03 -1.87261710e-20 0.00000000e+00)	(-3.61928601e-03 -1.87261710e-20 0.00000000e+00)
2               	top_wall	(-3.40210349e-03 -5.03460545e-28 0.00000000e+00)	(-3.40210349e-03 -5.03460545e-28 0.00000000e+00)
2               	bot_wall	(-3.40210087e-03 -2.36994740e-20 0.00000000e+00)	(-3.40210087e-03 -2.36994740e-20 0.00000000e+00)
2.5             	top_wall	(-3.24527999e-03 -5.49626536e-28 0.00000000e+00)	(-3.24527999e-03 -5.49626536e-28 0.00000000e+00)
2.5             	bot_wall	(-3.24527842e-03 9.82546647e-20 0.00000000e+00)	(-3.24527842e-03 9.82546647e-20 0.00000000e+00)
3               	top_wall	(-3.12573308e-03 -1.34230745e-27 0.00000000e+00)	(-3.12573308e-03 -1.34230745e-27 0.00000000e+00)
3               	bot_wall	(-3.12573228e-03 2.07036248e-20 0.00000000e+00)	(-3.12573228e-03 2.07036248e-20 0.00000000e+00)
3.5             	top_wall	(-3.03122516e-03 -2.15173894e-27 0.00000000e+00)	(-3.03122516e-03 -2.15173894e-27 0.00000000e+00)
3.5             	bot_wall	(-3.03122491e-03 2.24564971e-20 0.00000000e+00)	(-3.03122491e-03 2.24564971e-20 0.00000000e+00)
