# y_plus_values_1, u_plus_values_1
0.303311, 0.303312
0.909935, 0.909937
1.516557, 1.515550
2.123180, 2.120970
2.729803, 2.726379
3.336426, 3.331174
3.943049, 3.935355
4.549672, 4.539556
5.156305, 5.143539
5.762928, 5.746532
6.369551, 6.349506
6.976174, 6.952499
7.582797, 7.554462
8.189420, 8.156227
8.796043, 8.757993
9.402666, 9.359144
10.009289, 9.959702
10.615902, 10.560259
11.222525, 11.160599
11.829148, 11.759928
12.435771, 12.359278
13.042394, 12.958608
13.649017, 13.556908
14.255640, 14.155050
14.862263, 14.753171
15.468886, 15.350660
16.075509, 15.947593
16.682132, 16.544507
17.288755, 17.141184
17.895378, 17.736890
18.502001, 18.332596
19.108624, 18.928302
19.715247, 19.522939
20.321869, 20.117457
20.928492, 20.711896
21.535115, 21.305741
22.141738, 21.898991
22.748361, 22.492242
23.354984, 23.085295
23.961607, 23.677357
24.568230, 24.269420
25.174853, 24.861483
25.781476, 25.452555
26.388099, 26.043430
26.994722, 26.634106
27.601345, 27.224387
28.207968, 27.814073
28.814591, 28.403562
29.421214, 28.993050
30.027837, 29.581549
30.634460, 30.169849
31.241083, 30.758347
31.847706, 31.345658
32.454329, 31.932968
33.060952, 32.520080
33.667575, 33.106599
34.274198, 33.692523
34.880821, 34.278645
35.487444, 34.864371
36.094067, 35.449107
36.700690, 36.033843
37.307313, 36.618778
37.913936, 37.202524
38.520559, 37.786072
39.127182, 38.369620
39.733805, 38.952574
40.340428, 39.534736
40.947050, 40.117096
41.553673, 40.699257
42.160296, 41.280429
42.766919, 41.861403
43.373542, 42.442575
43.980165, 43.022757
44.586788, 43.602543
45.193411, 44.182526
45.800034, 44.761718
46.406657, 45.340514
47.013280, 45.919111
47.619903, 46.497709
48.226526, 47.075119
48.833149, 47.652726
49.439772, 48.230136
50.046395, 48.806555
50.653119, 49.382777
51.259742, 49.958998
51.866365, 50.534626
52.472988, 51.109659
53.079611, 51.684693
53.686234, 52.259528
54.292857, 52.833373
54.899480, 53.407219
55.506103, 53.981262
56.112726, 54.553919
56.719349, 55.126577
57.325972, 55.699234
57.932595, 56.271099
58.539218, 56.842568
59.145841, 57.414037
59.752464, 57.985111
60.359087, 58.555392
60.965709, 59.125475
61.572332, 59.695756
62.178955, 60.264849
62.785578, 60.833744
63.392201, 61.402837
63.998824, 61.971138
64.605447, 62.538845
65.212070, 63.106749
65.818693, 63.674258
66.425316, 64.240777
67.031939, 64.807296
67.638562, 65.374013
68.245185, 65.939343
68.851808, 66.504674
69.458431, 67.070203
70.065054, 67.634742
70.671677, 68.198884
71.278300, 68.763027
71.884923, 69.326773
72.491546, 69.889728
73.098169, 70.452683
73.704792, 71.015637
74.311415, 71.577404
74.918038, 72.139170
75.524661, 72.700936
76.131284, 73.261911
76.737907, 73.822489
77.344530, 74.382870
77.951153, 74.943052
78.557776, 75.502442
79.164399, 76.061833
79.771022, 76.621025
80.377645, 77.179227
80.984267, 77.737231
81.590890, 78.295235
82.197513, 78.852646
82.804136, 79.409462
83.410759, 79.966278
84.017382, 80.522896
84.624005, 81.078524
85.230628, 81.634152
85.837251, 82.189780
86.443874, 82.744220
87.050497, 83.298858
87.657120, 83.853298
88.263743, 84.406946
88.870366, 84.960197
89.476989, 85.513251
90.083612, 86.066107
90.690235, 86.618171
91.296858, 87.170235
91.903481, 87.722298
92.510104, 88.273174
93.116727, 88.823852
93.723350, 89.374529
94.329973, 89.924613
94.936596, 90.474301
95.543219, 91.023790
96.149842, 91.573082
96.756465, 92.121383
97.363088, 92.669883
97.969711, 93.218184
98.576334, 93.765496
99.182957, 94.312609
99.789580, 94.859723
100.396203, 95.406044
101.002826, 95.952167
101.609852, 96.498093
102.215869, 97.043622
102.822896, 97.588359
103.428913, 98.133096
104.035940, 98.677834
104.642967, 99.221185
105.248984, 99.764734
105.856011, 100.308283
106.462028, 100.851040
107.069055, 101.393203
107.676082, 101.935564
108.282099, 102.477529
108.889126, 103.018702
109.495143, 103.559677
110.102170, 104.100850
110.709197, 104.640637
111.315214, 105.180622
111.922241, 105.720409
112.528258, 106.259404
113.135285, 106.798200
113.742312, 107.336799
114.348329, 107.875200
114.955356, 108.412611
115.561373, 108.950021
116.168400, 109.487432
116.775427, 110.023655
117.381444, 110.559877
117.988471, 111.096100
118.594488, 111.631531
119.201515, 112.166565
119.808542, 112.701600
120.414559, 113.236238
121.021586, 113.770085
121.627602, 114.303931
122.234629, 114.837579
122.841656, 115.370238
123.447673, 115.902896
124.054700, 116.435555
124.660717, 116.967223
125.267744, 117.498495
125.874771, 118.029965
126.480788, 118.560842
127.087815, 119.091124
127.693832, 119.621208
128.300859, 120.151292
128.907886, 120.680386
129.513903, 121.209282
130.120930, 121.738377
130.726947, 122.266481
131.333974, 122.794189
131.941001, 123.321897
132.547018, 123.849209
133.154045, 124.375728
133.760062, 124.902050
134.367089, 125.428570
134.974116, 125.953902
135.580133, 126.479234
136.187160, 127.004566
136.793177, 127.529106
137.400204, 128.053249
138.007231, 128.577393
138.613248, 129.100943
139.220275, 129.623898
139.826292, 130.146656
140.433319, 130.669414
141.040346, 131.191181
141.646362, 131.712751
142.253389, 132.234519
142.859406, 132.755296
143.466433, 133.275678
144.073460, 133.796257
144.679477, 134.316242
145.286504, 134.835436
145.892521, 135.354629
146.499548, 135.873823
147.106575, 136.391828
147.712592, 136.910031
148.319619, 137.428037
148.925636, 137.945052
149.532663, 138.461869
150.139690, 138.978686
150.745707, 139.495107
151.352734, 140.010737
151.958751, 140.526168
152.565778, 141.041797
153.172805, 141.556238
153.778822, 142.070679
154.385849, 142.585120
154.991866, 143.098571
155.598893, 143.611626
156.205920, 144.124879
156.811937, 144.637538
157.418964, 145.149405
158.024981, 145.661470
158.632008, 146.173337
159.239035, 146.684015
159.845052, 147.194892
160.452079, 147.705571
161.058096, 148.215458
161.665123, 148.724948
162.272149, 149.234439
162.878166, 149.743534
163.485193, 150.251836
164.091210, 150.760139
164.698237, 151.268441
165.305264, 151.775556
165.911281, 152.282671
166.518308, 152.789785
167.124325, 153.295910
167.731352, 153.801836
168.338379, 154.307762
168.944396, 154.813095
169.551423, 155.317833
170.157440, 155.822373
170.764467, 156.326914
171.371494, 156.830464
171.977511, 157.334014
172.584538, 157.837367
173.190555, 158.339927
173.797582, 158.842289
174.404609, 159.344651
175.010626, 159.846221
175.617653, 160.347395
176.223670, 160.848372
176.830697, 161.349348
177.437724, 161.849136
178.043741, 162.348924
178.650768, 162.848712
179.256785, 163.347510
179.863812, 163.846109
180.470839, 164.344907
181.076856, 164.842913
181.683883, 165.340325
182.289899, 165.837737
182.896926, 166.334951
183.503953, 166.831174
184.109970, 167.327398
184.716997, 167.823424
185.323014, 168.318658
185.930041, 168.813693
186.537068, 169.308729
187.143085, 169.803170
187.750112, 170.296820
188.356129, 170.790668
188.963156, 171.284317
189.570183, 171.776779
190.176200, 172.269240
190.783227, 172.761900
191.389244, 173.253371
191.996271, 173.744842
192.603298, 174.236116
193.209315, 174.726795
193.816342, 175.216880
194.422359, 175.707164
195.029386, 176.197051
195.636413, 176.685948
196.242430, 177.174845
196.849457, 177.663743
197.455474, 178.151650
198.062501, 178.639359
198.669528, 179.127068
199.275545, 179.614183
199.882572, 180.100704
200.488589, 180.587225
201.095616, 181.073350
201.702643, 181.558683
202.308659, 182.044016
202.915686, 182.529349
203.522713, 183.013494
204.128730, 183.497639
204.735757, 183.981586
205.341774, 184.464939
205.948801, 184.947895
206.555828, 185.430654
207.161845, 185.913413
207.768872, 186.394984
208.374889, 186.876752
208.981916, 187.358323
209.588943, 187.838904
210.194960, 188.319286
210.801987, 188.799669
211.408004, 189.279457
212.015031, 189.758652
212.622058, 190.237846
213.228075, 190.716843
213.835102, 191.194849
214.441119, 191.672856
215.048146, 192.150862
215.655173, 192.627680
216.261190, 193.104499
216.868217, 193.581119
217.474234, 194.057343
218.081261, 194.532974
218.688288, 195.008604
219.294305, 195.483838
219.901332, 195.958280
220.507349, 196.432525
221.114376, 196.906967
221.721403, 197.380221
222.327420, 197.853673
222.934446, 198.327125
223.540463, 198.798399
224.147490, 199.271653
224.754517, 199.742927
225.360534, 200.214201
225.967561, 200.685475
226.573578, 201.154769
227.180605, 201.626043
227.787632, 202.097317
228.393649, 202.566610
229.000676, 203.035904
229.606693, 203.505198
230.213720, 203.972512
230.820747, 204.439825
231.426764, 204.909119
232.033791, 205.374453
232.639808, 205.841766
233.246835, 206.309080
233.853862, 206.774413
234.459879, 207.241727
235.066906, 207.707061
235.672923, 208.172394
236.279950, 208.637728
236.886977, 209.101081
237.492994, 209.566415
238.100021, 210.029768
238.706038, 210.493121
239.313065, 210.956475
239.920092, 211.419828
240.526109, 211.881201
241.133136, 212.344555
241.739153, 212.803948
242.346180, 213.265321
242.953206, 213.726694
243.559223, 214.188067
244.166250, 214.647461
244.772267, 215.106854
245.379294, 215.566247
245.986321, 216.025640
246.592338, 216.485033
247.199365, 216.942446
247.805382, 217.401839
248.412409, 217.859252
249.019436, 218.316665
249.625453, 218.772098
250.232480, 219.229511
250.838497, 219.684943
251.445524, 220.140376
252.052551, 220.595809
252.658568, 221.051242
253.265595, 221.506675
253.871612, 221.960127
254.478639, 222.413580
255.085666, 222.867033
255.691683, 223.320485
256.298710, 223.773938
256.904727, 224.225410
257.511754, 224.678863
258.118781, 225.130336
258.724798, 225.581808
259.331825, 226.033281
259.937842, 226.482773
260.544869, 226.934246
261.151896, 227.383738
261.757913, 227.833230
262.364940, 228.280742
262.970956, 228.730235
263.577983, 229.177747
264.185010, 229.625259
264.791027, 230.074752
265.398054, 230.522264
266.004071, 230.967796
266.611098, 231.415308
267.218125, 231.860840
267.824142, 232.308353
268.431169, 232.753885
269.037186, 233.199417
269.644213, 233.644949
270.251240, 234.088501
270.857257, 234.532053
271.464284, 234.975605
272.070301, 235.419157
272.677328, 235.860728
273.284355, 236.304280
273.890372, 236.747832
274.497399, 237.189404
275.103416, 237.630976
275.710443, 238.072548
276.317470, 238.512139
276.923487, 238.951731
277.530514, 239.393303
278.136531, 239.832895
278.743558, 240.272486
279.350585, 240.712078
279.956602, 241.149689
280.563629, 241.587301
281.169646, 242.024912
281.776673, 242.462524
282.383700, 242.900135
282.989716, 243.335767
283.596743, 243.773378
284.202760, 244.209010
284.809787, 244.644641
285.416814, 245.080273
286.022831, 245.515904
286.629858, 245.949555
287.235875, 246.383206
287.842902, 246.818838
288.449929, 247.250509
289.055946, 247.684160
289.662973, 248.117811
290.268990, 248.551463
290.876017, 248.983134
291.483044, 249.414805
292.089061, 249.844496
292.696088, 250.276167
293.302105, 250.705858
293.909132, 251.137529
294.516159, 251.567220
295.122176, 251.994931
295.729203, 252.424622
296.335220, 252.854312
296.942247, 253.282023
297.549274, 253.709734
298.155291, 254.137445
298.762318, 254.565156
299.368335, 254.990886
299.975362, 255.418597
300.582389, 255.844328
301.188406, 256.270058
301.795433, 256.695789
302.401450, 257.121520
303.008477, 257.545270
303.615503, 257.969021
304.221520, 258.394752
304.828547, 258.816522
305.434564, 259.240272
306.041591, 259.664023
306.648618, 260.085793
307.254635, 260.507564
307.861662, 260.931314
308.467679, 261.353085
309.074706, 261.772875
309.681733, 262.194645
310.287750, 262.614435
310.894777, 263.034226
311.500794, 263.454016
312.107821, 263.873806
312.714848, 264.293596
313.320865, 264.711407
313.927892, 265.129217
314.533909, 265.547027
315.140936, 265.964837
315.747963, 266.382647
316.353980, 266.800457
316.961007, 267.214307
317.567024, 267.630137
318.174051, 268.045967
318.781078, 268.461797
319.387095, 268.875646
319.994122, 269.291476
320.600139, 269.705326
321.207166, 270.119176
321.814193, 270.533026
322.420210, 270.946876
323.027237, 271.358745
323.633253, 271.770615
324.240280, 272.182485
324.847307, 272.594354
325.453324, 273.006224
326.060351, 273.418094
326.666368, 273.827983
327.273395, 274.237873
327.880422, 274.647762
328.486439, 275.055672
329.093466, 275.465561
329.699483, 275.875451
330.306510, 276.283360
330.913537, 276.691269
331.519554, 277.099179
332.126581, 277.505108
332.732598, 277.913017
333.339625, 278.318947
333.946652, 278.726856
334.552669, 279.132785
335.159696, 279.536734
335.765713, 279.942664
336.372740, 280.346613
336.979767, 280.750562
337.585784, 281.154511
338.192811, 281.558460
338.798828, 281.962409
339.405855, 282.364378
340.012882, 282.768327
340.618899, 283.170296
341.225926, 283.572265
341.831943, 283.972254
342.438970, 284.374223
343.045997, 284.774212
343.652013, 285.174200
344.259040, 285.574189
344.865057, 285.974178
345.472084, 286.374167
346.079111, 286.772175
346.685128, 287.170184
347.292155, 287.568193
347.898172, 287.966201
348.505199, 288.364210
349.112226, 288.760239
349.718243, 289.158247
350.325270, 289.554276
350.931287, 289.950304
351.538314, 290.344353
352.145341, 290.740381
352.751358, 291.136410
353.358385, 291.530458
353.964402, 291.924507
354.571429, 292.318555
355.178456, 292.710623
355.784473, 293.104672
356.391500, 293.496740
356.997517, 293.888808
357.604544, 294.280876
358.211571, 294.672945
358.817588, 295.065013
359.424615, 295.455101
360.030632, 295.845189
360.637659, 296.237257
361.244686, 296.625365
361.850703, 297.015453
362.457730, 297.405541
363.063747, 297.793649
363.670774, 298.181757
364.277800, 298.569865
364.883817, 298.957973
365.490844, 299.344101
366.096861, 299.730229
366.703888, 300.116357
367.310915, 300.502484
