# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-3.00848246e-03 -4.52282052e-29 0.00000000e+00)	(-3.00848246e-03 -4.52282052e-29 0.00000000e+00)
0.5             	bot_wall	(-3.00848042e-03 1.61698256e-20 0.00000000e+00)	(-3.00848042e-03 1.61698256e-20 0.00000000e+00)
1               	top_wall	(-2.65045582e-03 -2.09124021e-28 0.00000000e+00)	(-2.65045582e-03 -2.09124021e-28 0.00000000e+00)
1               	bot_wall	(-2.65045346e-03 1.13924964e-20 0.00000000e+00)	(-2.65045346e-03 1.13924964e-20 0.00000000e+00)
1.5             	top_wall	(-2.45023922e-03 -3.29048526e-28 0.00000000e+00)	(-2.45023922e-03 -3.29048526e-28 0.00000000e+00)
1.5             	bot_wall	(-2.45023712e-03 -3.06652737e-20 0.00000000e+00)	(-2.45023712e-03 -3.06652737e-20 0.00000000e+00)
2               	top_wall	(-2.31699377e-03 -3.42808733e-28 0.00000000e+00)	(-2.31699377e-03 -3.42808733e-28 0.00000000e+00)
2               	bot_wall	(-2.31699210e-03 -6.22403427e-21 0.00000000e+00)	(-2.31699210e-03 -6.22403427e-21 0.00000000e+00)
2.5             	top_wall	(-2.21972612e-03 -5.05526963e-28 0.00000000e+00)	(-2.21972612e-03 -5.05526963e-28 0.00000000e+00)
2.5             	bot_wall	(-2.21972491e-03 -1.30941245e-20 0.00000000e+00)	(-2.21972491e-03 -1.30941245e-20 0.00000000e+00)
3               	top_wall	(-2.14462659e-03 -6.86909520e-28 0.00000000e+00)	(-2.14462659e-03 -6.86909520e-28 0.00000000e+00)
3               	bot_wall	(-2.14462581e-03 1.26245805e-20 0.00000000e+00)	(-2.14462581e-03 1.26245805e-20 0.00000000e+00)
3.5             	top_wall	(-2.08443743e-03 -7.06276306e-28 0.00000000e+00)	(-2.08443743e-03 -7.06276306e-28 0.00000000e+00)
3.5             	bot_wall	(-2.08443699e-03 1.84224700e-24 0.00000000e+00)	(-2.08443699e-03 1.84224700e-24 0.00000000e+00)
4               	top_wall	(-2.03490375e-03 -8.41975051e-28 0.00000000e+00)	(-2.03490375e-03 -8.41975051e-28 0.00000000e+00)
4               	bot_wall	(-2.03490357e-03 3.83231027e-21 0.00000000e+00)	(-2.03490357e-03 3.83231027e-21 0.00000000e+00)
