# y_plus_values_1, u_plus_values_1
1.552317, 1.552321
4.656956, 4.656964
7.761585, 6.271497
10.866219, 7.591570
13.970853, 8.911643
17.075487, 9.520028
20.180121, 9.430798
23.284755, 9.341592
26.389440, 9.247525
29.494074, 9.130704
32.598708, 9.013859
35.703342, 8.897037
38.807976, 8.904679
41.912610, 8.935172
45.017244, 8.965665
48.121878, 9.015261
51.226512, 9.082897
54.331094, 9.150533
57.435728, 9.221506
60.540362, 9.307181
63.644996, 9.392857
66.749630, 9.478508
69.854264, 9.571099
72.958898, 9.664851
76.063532, 9.758579
79.168166, 9.849792
82.272800, 9.938684
85.377434, 10.027600
88.482068, 10.114653
91.586702, 10.194090
94.691336, 10.273526
97.795970, 10.352963
100.900603, 10.425072
104.005237, 10.496045
107.109871, 10.566994
110.214505, 10.634146
113.319139, 10.697962
116.423773, 10.761801
119.528407, 10.824359
122.633041, 10.882080
125.737675, 10.939778
128.842309, 10.997499
131.946943, 11.050602
135.051577, 11.103028
138.156211, 11.155477
141.260845, 11.205437
144.365479, 11.253316
147.470113, 11.301220
150.574747, 11.348253
153.679381, 11.392167
156.784015, 11.436105
159.888649, 11.480019
162.993283, 11.520910
166.097916, 11.561390
169.202550, 11.601870
172.307184, 11.640681
175.411818, 11.678163
178.516452, 11.715668
181.621086, 11.752545
184.725720, 11.787415
187.830354, 11.822261
190.934988, 11.857131
194.039622, 11.889921
197.144256, 11.922469
200.248890, 11.955018
203.353524, 11.986405
206.458158, 12.016898
209.562792, 12.047391
212.667426, 12.077473
215.772060, 12.106177
218.876694, 12.134856
221.981328, 12.163560
225.085962, 12.190812
228.190596, 12.217896
231.295230, 12.244979
234.399863, 12.271240
237.504497, 12.296897
240.609131, 12.322530
243.713765, 12.347872
246.818399, 12.372223
249.923033, 12.396574
253.027667, 12.420924
256.132301, 12.444236
259.237452, 12.467426
262.342086, 12.490616
265.446720, 12.513201
268.551354, 12.535328
271.655988, 12.557478
274.760622, 12.579362
277.865256, 12.600545
280.969890, 12.621728
284.074524, 12.642887
287.179158, 12.663272
290.283792, 12.683585
293.388425, 12.703898
296.493059, 12.723726
299.597693, 12.743241
302.702327, 12.762756
305.806961, 12.782077
308.911595, 12.800842
312.016229, 12.819631
315.120863, 12.838420
318.225497, 12.856556
321.330131, 12.874668
324.434765, 12.892780
327.539399, 12.910529
330.644033, 12.928037
333.748667, 12.945520
336.853301, 12.962858
339.957935, 12.979785
343.062569, 12.996712
346.167203, 13.013640
349.271837, 13.030059
352.376471, 13.046430
355.481105, 13.062825
358.585738, 13.078906
361.690372, 13.094793
364.795006, 13.110680
367.899640, 13.126447
371.004274, 13.141850
374.108908, 13.157278
377.213542, 13.172682
380.318176, 13.187674
383.422810, 13.202667
386.527444, 13.217635
389.632078, 13.232338
392.736712, 13.246895
395.841346, 13.261477
398.945980, 13.275913
402.050614, 13.290059
405.155248, 13.304230
408.259882, 13.318400
411.364516, 13.332184
414.469150, 13.345991
417.573784, 13.359775
420.678418, 13.373341
423.783052, 13.386786
426.887685, 13.400231
429.992319, 13.413555
433.096953, 13.426661
436.201587, 13.439768
439.306221, 13.452850
442.410855, 13.465642
445.515489, 13.478434
448.620123, 13.491202
451.724757, 13.503800
454.829391, 13.516278
457.934025, 13.528756
461.038659, 13.541161
464.143293, 13.553349
467.247927, 13.565536
470.352561, 13.577699
