# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-1.43231474e-02 1.59786813e-30 0.00000000e+00)	(-1.43231474e-02 1.59786813e-30 0.00000000e+00)
0.5             	bot_wall	(-1.43231474e-02 -6.88236998e-19 0.00000000e+00)	(-1.43231474e-02 -6.88236998e-19 0.00000000e+00)
1               	top_wall	(-1.02942493e-02 -1.58805810e-29 0.00000000e+00)	(-1.02942493e-02 -1.58805810e-29 0.00000000e+00)
1               	bot_wall	(-1.02942493e-02 -7.62603148e-19 0.00000000e+00)	(-1.02942493e-02 -7.62603148e-19 0.00000000e+00)
1.5             	top_wall	(-8.52191973e-03 -4.11428174e-29 0.00000000e+00)	(-8.52191973e-03 -4.11428174e-29 0.00000000e+00)
1.5             	bot_wall	(-8.52191977e-03 -6.63485218e-19 0.00000000e+00)	(-8.52191977e-03 -6.63485218e-19 0.00000000e+00)
2               	top_wall	(-7.46874069e-03 -2.28518160e-29 0.00000000e+00)	(-7.46874069e-03 -2.28518160e-29 0.00000000e+00)
2               	bot_wall	(-7.46874073e-03 -6.48505423e-19 0.00000000e+00)	(-7.46874073e-03 -6.48505423e-19 0.00000000e+00)
2.5             	top_wall	(-6.75146758e-03 -1.26879342e-28 0.00000000e+00)	(-6.75146758e-03 -1.26879342e-28 0.00000000e+00)
2.5             	bot_wall	(-6.75146762e-03 -4.43112551e-19 0.00000000e+00)	(-6.75146762e-03 -4.43112551e-19 0.00000000e+00)
3               	top_wall	(-6.22280217e-03 -1.36253276e-28 0.00000000e+00)	(-6.22280217e-03 -1.36253276e-28 0.00000000e+00)
3               	bot_wall	(-6.22280221e-03 1.07683010e-19 0.00000000e+00)	(-6.22280221e-03 1.07683010e-19 0.00000000e+00)
3.5             	top_wall	(-5.81243775e-03 -9.88881993e-29 0.00000000e+00)	(-5.81243775e-03 -9.88881993e-29 0.00000000e+00)
3.5             	bot_wall	(-5.81243779e-03 3.01326453e-19 0.00000000e+00)	(-5.81243779e-03 3.01326453e-19 0.00000000e+00)
4               	top_wall	(-5.48201388e-03 -8.86251116e-29 0.00000000e+00)	(-5.48201388e-03 -8.86251116e-29 0.00000000e+00)
4               	bot_wall	(-5.48201392e-03 2.59334001e-20 0.00000000e+00)	(-5.48201392e-03 2.59334001e-20 0.00000000e+00)
4.5             	top_wall	(-5.20858999e-03 -5.30407977e-29 0.00000000e+00)	(-5.20858999e-03 -5.30407977e-29 0.00000000e+00)
4.5             	bot_wall	(-5.20859003e-03 -3.45989626e-19 0.00000000e+00)	(-5.20859003e-03 -3.45989626e-19 0.00000000e+00)
5               	top_wall	(-4.97749453e-03 6.14859234e-30 0.00000000e+00)	(-4.97749453e-03 6.14859234e-30 0.00000000e+00)
5               	bot_wall	(-4.97749457e-03 -2.90283656e-19 0.00000000e+00)	(-4.97749457e-03 -2.90283656e-19 0.00000000e+00)
5.5             	top_wall	(-4.77884962e-03 7.22061437e-29 0.00000000e+00)	(-4.77884962e-03 7.22061437e-29 0.00000000e+00)
5.5             	bot_wall	(-4.77884966e-03 -1.54700581e-19 0.00000000e+00)	(-4.77884966e-03 -1.54700581e-19 0.00000000e+00)
6               	top_wall	(-4.60572890e-03 1.81444313e-28 0.00000000e+00)	(-4.60572890e-03 1.81444313e-28 0.00000000e+00)
6               	bot_wall	(-4.60572894e-03 1.74180491e-19 0.00000000e+00)	(-4.60572894e-03 1.74180491e-19 0.00000000e+00)
6.5             	top_wall	(-4.45311278e-03 2.91358447e-28 0.00000000e+00)	(-4.45311278e-03 2.91358447e-28 0.00000000e+00)
6.5             	bot_wall	(-4.45311282e-03 6.33661590e-19 0.00000000e+00)	(-4.45311282e-03 6.33661590e-19 0.00000000e+00)
7               	top_wall	(-4.31726249e-03 2.05784492e-28 0.00000000e+00)	(-4.31726249e-03 2.05784492e-28 0.00000000e+00)
7               	bot_wall	(-4.31726253e-03 3.13415931e-19 0.00000000e+00)	(-4.31726253e-03 3.13415931e-19 0.00000000e+00)
7.5             	top_wall	(-4.19532864e-03 3.04554752e-28 0.00000000e+00)	(-4.19532864e-03 3.04554752e-28 0.00000000e+00)
7.5             	bot_wall	(-4.19532868e-03 1.79293306e-19 0.00000000e+00)	(-4.19532868e-03 1.79293306e-19 0.00000000e+00)
