# y_plus_values_1, u_plus_values_1
6.430597, 6.179691
19.291813, 11.542018
32.152986, 13.408637
45.014181, 14.506995
57.875375, 15.283086
70.736569, 15.882832
83.597764, 16.371518
96.458958, 16.783730
109.320367, 17.140088
122.181561, 17.453786
135.042756, 17.733669
147.903950, 17.986119
160.765145, 18.215759
173.626339, 18.426011
186.487534, 18.619617
199.348728, 18.798644
212.209923, 18.964756
225.070903, 19.119339
237.932097, 19.263503
250.793292, 19.398143
263.654486, 19.524091
276.515681, 19.641870
289.376875, 19.752128
302.238070, 19.855266
315.099264, 19.951715
327.960459, 20.041814
340.821653, 20.125840
353.682847, 20.204041
366.544042, 20.276632
379.405236, 20.343767
392.266431, 20.405570
405.127625, 20.462101
417.988820, 20.513516
430.850014, 20.559783
443.711209, 20.600933
456.572403, 20.636905
469.433597, 20.667668
482.294792, 20.693159
495.155986, 20.713257
508.017181, 20.727898
520.878375, 20.736991
533.739570, 20.740505
546.600764, 20.738409
559.461959, 20.730672
572.323153, 20.717418
585.184348, 20.698677
598.045542, 20.674541
610.906736, 20.645104
623.767931, 20.610427
636.629125, 20.570541
649.490320, 20.525568
662.351514, 20.475448
675.212709, 20.420180
688.073903, 20.359703
700.935098, 20.293925
713.796292, 20.222721
726.657487, 20.145938
739.518681, 20.063391
752.379875, 19.974864
765.241070, 19.880018
778.102264, 19.778575
790.963459, 19.670136
803.824653, 19.554268
816.685848, 19.430447
829.547042, 19.298026
842.408237, 19.156328
855.269431, 19.004457
868.130625, 18.841336
880.991820, 18.665669
893.853014, 18.475884
906.714209, 18.270010
919.575403, 18.045517
932.436598, 17.799170
945.297792, 17.526623
958.158987, 17.222111
971.020181, 16.877466
983.881376, 16.480759
996.742570, 16.013742
1009.603764, 15.446238
1022.464959, 14.723257
1035.326153, 13.728037
1048.187348, 12.137664
1061.048542, 8.362875
