# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-1.27962155e-01 1.34650827e-22 0.00000000e+00)	(-1.27962155e-01 1.34650827e-22 0.00000000e+00)
0.5             	bot_wall	(-1.27962307e-01 1.06085275e-18 0.00000000e+00)	(-1.27962307e-01 1.06085275e-18 0.00000000e+00)
1               	top_wall	(-1.19322620e-01 4.90566882e-22 0.00000000e+00)	(-1.19322620e-01 4.90566882e-22 0.00000000e+00)
1               	bot_wall	(-1.19322732e-01 1.13990319e-18 0.00000000e+00)	(-1.19322732e-01 1.13990319e-18 0.00000000e+00)
1.5             	top_wall	(-1.14221824e-01 -2.93827494e-22 0.00000000e+00)	(-1.14221824e-01 -2.93827494e-22 0.00000000e+00)
1.5             	bot_wall	(-1.14221923e-01 8.99703882e-19 0.00000000e+00)	(-1.14221923e-01 8.99703882e-19 0.00000000e+00)
2               	top_wall	(-1.10750699e-01 8.37864040e-22 0.00000000e+00)	(-1.10750699e-01 8.37864040e-22 0.00000000e+00)
2               	bot_wall	(-1.10750790e-01 5.64273053e-19 0.00000000e+00)	(-1.10750790e-01 5.64273053e-19 0.00000000e+00)
2.5             	top_wall	(-1.08252382e-01 1.09961510e-22 0.00000000e+00)	(-1.08252382e-01 1.09961510e-22 0.00000000e+00)
2.5             	bot_wall	(-1.08252469e-01 1.00669509e-18 0.00000000e+00)	(-1.08252469e-01 1.00669509e-18 0.00000000e+00)
3               	top_wall	(-1.06508823e-01 -6.13705434e-22 0.00000000e+00)	(-1.06508823e-01 -6.13705434e-22 0.00000000e+00)
3               	bot_wall	(-1.06508907e-01 1.25545043e-18 0.00000000e+00)	(-1.06508907e-01 1.25545043e-18 0.00000000e+00)
3.5             	top_wall	(-1.05163169e-01 -3.16700700e-22 0.00000000e+00)	(-1.05163169e-01 -3.16700700e-22 0.00000000e+00)
3.5             	bot_wall	(-1.05163250e-01 1.27374601e-18 0.00000000e+00)	(-1.05163250e-01 1.27374601e-18 0.00000000e+00)
4               	top_wall	(-1.04109777e-01 -2.46936246e-22 0.00000000e+00)	(-1.04109777e-01 -2.46936246e-22 0.00000000e+00)
4               	bot_wall	(-1.04109857e-01 1.61106175e-18 0.00000000e+00)	(-1.04109857e-01 1.61106175e-18 0.00000000e+00)
4.5             	top_wall	(-1.03278018e-01 5.00693709e-22 0.00000000e+00)	(-1.03278018e-01 5.00693709e-22 0.00000000e+00)
4.5             	bot_wall	(-1.03278095e-01 1.28637827e-18 0.00000000e+00)	(-1.03278095e-01 1.28637827e-18 0.00000000e+00)
5               	top_wall	(-1.02616352e-01 -1.18272132e-22 0.00000000e+00)	(-1.02616352e-01 -1.18272132e-22 0.00000000e+00)
5               	bot_wall	(-1.02616426e-01 4.77064795e-19 0.00000000e+00)	(-1.02616426e-01 4.77064795e-19 0.00000000e+00)
5.5             	top_wall	(-1.02066353e-01 2.20654486e-22 0.00000000e+00)	(-1.02066353e-01 2.20654486e-22 0.00000000e+00)
5.5             	bot_wall	(-1.02066424e-01 1.95019317e-19 0.00000000e+00)	(-1.02066424e-01 1.95019317e-19 0.00000000e+00)
6               	top_wall	(-1.01579180e-01 2.02663094e-22 0.00000000e+00)	(-1.01579180e-01 2.02663094e-22 0.00000000e+00)
6               	bot_wall	(-1.01579248e-01 8.16855690e-19 0.00000000e+00)	(-1.01579248e-01 8.16855690e-19 0.00000000e+00)
6.5             	top_wall	(-1.01159099e-01 7.07823152e-22 0.00000000e+00)	(-1.01159099e-01 7.07823152e-22 0.00000000e+00)
6.5             	bot_wall	(-1.01159165e-01 9.59035359e-19 0.00000000e+00)	(-1.01159165e-01 9.59035359e-19 0.00000000e+00)
7               	top_wall	(-1.00798168e-01 2.50372692e-21 0.00000000e+00)	(-1.00798168e-01 2.50372692e-21 0.00000000e+00)
7               	bot_wall	(-1.00798231e-01 1.29654773e-18 0.00000000e+00)	(-1.00798231e-01 1.29654773e-18 0.00000000e+00)
7.5             	top_wall	(-1.00490466e-01 2.70614424e-22 0.00000000e+00)	(-1.00490466e-01 2.70614424e-22 0.00000000e+00)
7.5             	bot_wall	(-1.00490526e-01 1.20544154e-18 0.00000000e+00)	(-1.00490526e-01 1.20544154e-18 0.00000000e+00)
8               	top_wall	(-1.00229227e-01 -5.31663081e-22 0.00000000e+00)	(-1.00229227e-01 -5.31663081e-22 0.00000000e+00)
8               	bot_wall	(-1.00229285e-01 6.91487828e-19 0.00000000e+00)	(-1.00229285e-01 6.91487828e-19 0.00000000e+00)
8.5             	top_wall	(-1.00012559e-01 9.03097318e-22 0.00000000e+00)	(-1.00012559e-01 9.03097318e-22 0.00000000e+00)
8.5             	bot_wall	(-1.00012615e-01 5.35152268e-19 0.00000000e+00)	(-1.00012615e-01 5.35152268e-19 0.00000000e+00)
