# y_plus_values_1, u_plus_values_1
6.491875, 6.452890
19.475646, 19.124724
32.459374, 31.484632
45.443124, 43.532734
58.426874, 55.268786
71.410624, 66.692789
84.394373, 77.805048
97.378123, 88.605257
110.362089, 99.093417
123.345839, 109.269833
136.329589, 119.134199
149.313338, 128.686821
162.297088, 137.927089
175.280838, 146.855917
188.264588, 155.472391
201.248337, 163.776815
214.232087, 171.769801
227.215621, 179.450431
240.199371, 186.819318
253.183120, 193.876460
266.166870, 200.621248
279.150620, 207.054291
292.134370, 213.175285
305.118119, 218.984535
318.101869, 224.481735
331.085619, 229.666886
344.069369, 234.540293
357.053118, 239.101955
370.036868, 243.351568
383.020618, 247.289132
396.004368, 250.914646
408.988117, 254.228721
421.971867, 257.230747
434.955617, 259.920418
447.939367, 262.298650
460.923116, 264.364833
473.906866, 266.119272
486.890616, 267.561661
499.874366, 268.692306
512.858115, 269.510902
525.841865, 270.018058
538.825615, 270.212860
551.809365, 270.095918
564.793115, 269.666926
577.776864, 268.926190
590.760614, 267.873710
603.744364, 266.509181
616.728114, 264.832907
629.711863, 262.844584
642.695613, 260.544212
655.679363, 257.932095
668.663113, 255.008234
681.646862, 251.772629
694.630612, 248.224975
707.614362, 244.364966
720.598112, 240.193518
733.581861, 235.710020
746.565611, 230.914473
759.549361, 225.807487
772.533111, 220.387841
785.516860, 214.657062
798.500610, 208.613622
811.484360, 202.258439
824.468110, 195.591816
837.451859, 188.612839
850.435609, 181.321812
863.419359, 173.719041
876.403109, 165.804526
889.386858, 157.577962
902.370608, 149.039347
915.354358, 140.188684
928.338108, 131.025971
941.321858, 121.551514
954.305607, 111.765313
967.289357, 101.666757
980.273107, 91.256456
993.256857, 80.534107
1006.240606, 69.500013
1019.224356, 58.153870
1032.208106, 46.495982
1045.191856, 34.525740
1058.175605, 22.243967
1071.159355, 9.650084
