# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-3.67497871e-01 -4.83586914e-22 0.00000000e+00)	(-3.67497871e-01 -4.83586914e-22 0.00000000e+00)
0.5             	bot_wall	(-3.67497871e-01 1.20387079e-17 0.00000000e+00)	(-3.67497871e-01 1.20387079e-17 0.00000000e+00)
1               	top_wall	(-2.71822339e-01 -6.48830770e-22 0.00000000e+00)	(-2.71822339e-01 -6.48830770e-22 0.00000000e+00)
1               	bot_wall	(-2.71822339e-01 1.53723304e-17 0.00000000e+00)	(-2.71822339e-01 1.53723304e-17 0.00000000e+00)
1.5             	top_wall	(-2.30023727e-01 1.11773700e-22 0.00000000e+00)	(-2.30023727e-01 1.11773700e-22 0.00000000e+00)
1.5             	bot_wall	(-2.30023727e-01 2.00591123e-17 0.00000000e+00)	(-2.30023727e-01 2.00591123e-17 0.00000000e+00)
2               	top_wall	(-2.05404162e-01 8.37582332e-22 0.00000000e+00)	(-2.05404162e-01 8.37582332e-22 0.00000000e+00)
2               	bot_wall	(-2.05404162e-01 1.99984587e-17 0.00000000e+00)	(-2.05404162e-01 1.99984587e-17 0.00000000e+00)
2.5             	top_wall	(-1.88801024e-01 -1.25967926e-21 0.00000000e+00)	(-1.88801024e-01 -1.25967926e-21 0.00000000e+00)
2.5             	bot_wall	(-1.88801024e-01 2.12635383e-17 0.00000000e+00)	(-1.88801024e-01 2.12635383e-17 0.00000000e+00)
3               	top_wall	(-1.76692708e-01 5.37602182e-22 0.00000000e+00)	(-1.76692708e-01 5.37602182e-22 0.00000000e+00)
3               	bot_wall	(-1.76692708e-01 1.86737395e-17 0.00000000e+00)	(-1.76692708e-01 1.86737395e-17 0.00000000e+00)
3.5             	top_wall	(-1.67399222e-01 -2.17667975e-21 0.00000000e+00)	(-1.67399222e-01 -2.17667975e-21 0.00000000e+00)
3.5             	bot_wall	(-1.67399222e-01 2.07879935e-17 0.00000000e+00)	(-1.67399222e-01 2.07879935e-17 0.00000000e+00)
