# y_plus_values_1, u_plus_values_1
9.214140, 4.724844
27.642449, 7.191773
46.070698, 8.388742
64.498977, 9.202726
82.927256, 9.826477
101.355535, 10.335653
119.783814, 10.768159
138.212093, 11.145658
156.640679, 11.481917
175.068958, 11.786059
193.497237, 12.064536
211.925516, 12.322039
230.353795, 12.562074
248.782074, 12.787351
267.210353, 12.999936
285.638632, 13.201486
304.066911, 13.393333
322.494884, 13.576489
340.923163, 13.751836
359.351442, 13.919998
377.779721, 14.081534
396.208000, 14.236854
414.636279, 14.386278
433.064558, 14.530003
451.492837, 14.668155
469.921116, 14.800843
488.349395, 14.927981
506.777674, 15.049569
525.205953, 15.165391
543.634232, 15.275233
562.062511, 15.378794
580.490790, 15.475729
598.919069, 15.565607
617.347348, 15.647978
635.775628, 15.722325
654.203907, 15.788109
672.632186, 15.844881
691.060465, 15.892143
709.488744, 15.929553
727.917023, 15.956852
746.345302, 15.973804
764.773581, 15.980344
783.201860, 15.976429
801.630139, 15.962058
820.058418, 15.937341
838.486697, 15.902426
856.914976, 15.857594
875.343255, 15.803168
893.771534, 15.739578
912.199813, 15.667339
930.628092, 15.586926
949.056372, 15.498897
967.484651, 15.403662
985.912930, 15.301715
1004.341209, 15.193400
1022.769488, 15.079062
1041.197767, 14.958916
1059.626046, 14.833155
1078.054325, 14.701843
1096.482604, 14.565068
1114.910883, 14.422742
1133.339162, 14.274758
1151.767441, 14.120945
1170.195720, 13.960979
1188.623999, 13.794517
1207.052278, 13.621041
1225.480557, 13.439907
1243.908837, 13.250319
1262.337116, 13.051308
1280.765395, 12.841627
1299.193674, 12.619706
1317.621953, 12.383586
1336.050232, 12.130730
1354.478511, 11.857867
1372.906790, 11.560674
1391.335069, 11.233191
1409.763348, 10.867051
1428.191627, 10.449948
1446.619906, 9.962650
1465.048185, 9.372545
1483.476464, 8.617031
1501.904743, 7.548577
1520.333022, 5.623716
