# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-2.84918945e-01 -1.45875602e-21 0.00000000e+00)	(-2.84918945e-01 -1.45875602e-21 0.00000000e+00)
0.5             	bot_wall	(-2.84919434e-01 1.27283828e-18 0.00000000e+00)	(-2.84919434e-01 1.27283828e-18 0.00000000e+00)
1               	top_wall	(-2.61928580e-01 -7.87927401e-22 0.00000000e+00)	(-2.61928580e-01 -7.87927401e-22 0.00000000e+00)
1               	bot_wall	(-2.61928839e-01 2.21910932e-18 0.00000000e+00)	(-2.61928839e-01 2.21910932e-18 0.00000000e+00)
1.5             	top_wall	(-2.49349079e-01 2.27194034e-21 0.00000000e+00)	(-2.49349079e-01 2.27194034e-21 0.00000000e+00)
1.5             	bot_wall	(-2.49349278e-01 2.31479862e-18 0.00000000e+00)	(-2.49349278e-01 2.31479862e-18 0.00000000e+00)
2               	top_wall	(-2.40973388e-01 -1.29412235e-21 0.00000000e+00)	(-2.40973388e-01 -1.29412235e-21 0.00000000e+00)
2               	bot_wall	(-2.40973551e-01 1.91438239e-18 0.00000000e+00)	(-2.40973551e-01 1.91438239e-18 0.00000000e+00)
2.5             	top_wall	(-2.34784195e-01 -1.74858255e-21 0.00000000e+00)	(-2.34784195e-01 -1.74858255e-21 0.00000000e+00)
2.5             	bot_wall	(-2.34784329e-01 1.97608815e-18 0.00000000e+00)	(-2.34784329e-01 1.97608815e-18 0.00000000e+00)
3               	top_wall	(-2.29917490e-01 -4.71457828e-22 0.00000000e+00)	(-2.29917490e-01 -4.71457828e-22 0.00000000e+00)
3               	bot_wall	(-2.29917600e-01 2.58157075e-18 0.00000000e+00)	(-2.29917600e-01 2.58157075e-18 0.00000000e+00)
3.5             	top_wall	(-2.25904754e-01 -2.75559488e-21 0.00000000e+00)	(-2.25904754e-01 -2.75559488e-21 0.00000000e+00)
3.5             	bot_wall	(-2.25904844e-01 2.53427750e-18 0.00000000e+00)	(-2.25904844e-01 2.53427750e-18 0.00000000e+00)
4               	top_wall	(-2.22408986e-01 -1.04382986e-21 0.00000000e+00)	(-2.22408986e-01 -1.04382986e-21 0.00000000e+00)
