# y_plus_values_1, u_plus_values_1
9.220768, 4.634729
27.662336, 7.118974
46.103842, 8.357925
64.545379, 9.210341
82.986916, 9.868125
101.428453, 10.407740
119.869990, 10.867773
138.311526, 11.270560
156.753370, 11.630182
175.194907, 11.956182
193.636444, 12.255225
212.077981, 12.532191
230.519518, 12.790777
248.961055, 13.033778
267.402591, 13.263386
285.844128, 13.481300
304.285665, 13.688917
322.726895, 13.887290
341.168432, 14.077323
359.609969, 14.259659
378.051505, 14.434881
396.493042, 14.603352
414.934579, 14.765417
433.376116, 14.921269
451.817653, 15.071016
470.259190, 15.214702
488.700726, 15.352368
507.142263, 15.483886
525.583800, 15.609084
544.025337, 15.727832
562.466874, 15.839831
580.908411, 15.944779
599.349948, 16.042332
617.791484, 16.132060
636.233021, 16.213490
654.674558, 16.286149
673.116095, 16.349415
691.557632, 16.402684
709.999169, 16.445334
728.440706, 16.476741
746.882242, 16.496454
765.323779, 16.504085
783.765316, 16.499528
802.206853, 16.482803
820.648390, 16.454255
839.089927, 16.414357
857.531463, 16.363689
875.973000, 16.302874
894.414537, 16.232515
912.856074, 16.153213
931.297611, 16.065505
949.739148, 15.969866
968.180685, 15.866724
986.622221, 15.756466
1005.063758, 15.639394
1023.505295, 15.515766
1041.946832, 15.385817
1060.388369, 15.249699
1078.829906, 15.107497
1097.271443, 14.959254
1115.712979, 14.804949
1134.154516, 14.644475
1152.596053, 14.477616
1171.037590, 14.304115
1189.479127, 14.123606
1207.920664, 13.935551
1226.362200, 13.739327
1244.803737, 13.534118
1263.245274, 13.318891
1281.686811, 13.092357
1300.128348, 12.852882
1318.569885, 12.598423
1337.011422, 12.326358
1355.452958, 12.033227
1373.894495, 11.714535
1392.336032, 11.364072
1410.777569, 10.973172
1429.219106, 10.529154
1447.660643, 10.012197
1466.102179, 9.389024
1484.543716, 8.596283
1502.985253, 7.486313
1521.426790, 5.527581
