# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-2.82219005e-01 -5.74865021e-22 0.00000000e+00)	(-2.82219005e-01 -5.74865021e-22 0.00000000e+00)
0.5             	bot_wall	(-2.82220053e-01 2.06063745e-18 0.00000000e+00)	(-2.82220053e-01 2.06063745e-18 0.00000000e+00)
1               	top_wall	(-2.61244317e-01 1.10127216e-21 0.00000000e+00)	(-2.61244317e-01 1.10127216e-21 0.00000000e+00)
1               	bot_wall	(-2.61245108e-01 1.17508677e-18 0.00000000e+00)	(-2.61245108e-01 1.17508677e-18 0.00000000e+00)
1.5             	top_wall	(-2.47956067e-01 -8.51263981e-22 0.00000000e+00)	(-2.47956067e-01 -8.51263981e-22 0.00000000e+00)
1.5             	bot_wall	(-2.47956747e-01 8.30270331e-19 0.00000000e+00)	(-2.47956747e-01 8.30270331e-19 0.00000000e+00)
2               	top_wall	(-2.38962558e-01 -1.06050805e-21 0.00000000e+00)	(-2.38962558e-01 -1.06050805e-21 0.00000000e+00)
2               	bot_wall	(-2.38963162e-01 2.37838719e-18 0.00000000e+00)	(-2.38963162e-01 2.37838719e-18 0.00000000e+00)
2.5             	top_wall	(-2.32319899e-01 2.01330289e-22 0.00000000e+00)	(-2.32319899e-01 2.01330289e-22 0.00000000e+00)
2.5             	bot_wall	(-2.32320451e-01 1.50614267e-18 0.00000000e+00)	(-2.32320451e-01 1.50614267e-18 0.00000000e+00)
3               	top_wall	(-2.27112538e-01 1.52793152e-21 0.00000000e+00)	(-2.27112538e-01 1.52793152e-21 0.00000000e+00)
3               	bot_wall	(-2.27113051e-01 2.13937688e-18 0.00000000e+00)	(-2.27113051e-01 2.13937688e-18 0.00000000e+00)
3.5             	top_wall	(-2.22822614e-01 -2.32931296e-22 0.00000000e+00)	(-2.22822614e-01 -2.32931296e-22 0.00000000e+00)
3.5             	bot_wall	(-2.22823094e-01 2.31767252e-18 0.00000000e+00)	(-2.22823094e-01 2.31767252e-18 0.00000000e+00)
4               	top_wall	(-2.19077555e-01 4.01951174e-22 0.00000000e+00)	(-2.19077555e-01 4.01951174e-22 0.00000000e+00)
4               	bot_wall	(-2.19078006e-01 2.46164100e-18 0.00000000e+00)	(-2.19078006e-01 2.46164100e-18 0.00000000e+00)
4.5             	top_wall	(-2.15991998e-01 1.21701088e-21 0.00000000e+00)	(-2.15991998e-01 1.21701088e-21 0.00000000e+00)
4.5             	bot_wall	(-2.15992425e-01 1.84321598e-18 0.00000000e+00)	(-2.15992425e-01 1.84321598e-18 0.00000000e+00)
5               	top_wall	(-2.13498826e-01 1.34183458e-21 0.00000000e+00)	(-2.13498826e-01 1.34183458e-21 0.00000000e+00)
5               	bot_wall	(-2.13499231e-01 2.40354096e-18 0.00000000e+00)	(-2.13499231e-01 2.40354096e-18 0.00000000e+00)
5.5             	top_wall	(-2.11388662e-01 -6.08612644e-22 0.00000000e+00)	(-2.11388662e-01 -6.08612644e-22 0.00000000e+00)
5.5             	bot_wall	(-2.11389048e-01 1.64891138e-18 0.00000000e+00)	(-2.11389048e-01 1.64891138e-18 0.00000000e+00)
6               	top_wall	(-2.09546607e-01 2.13918501e-21 0.00000000e+00)	(-2.09546607e-01 2.13918501e-21 0.00000000e+00)
6               	bot_wall	(-2.09546976e-01 2.05253009e-18 0.00000000e+00)	(-2.09546976e-01 2.05253009e-18 0.00000000e+00)
6.5             	top_wall	(-2.07917637e-01 1.77689115e-21 0.00000000e+00)	(-2.07917637e-01 1.77689115e-21 0.00000000e+00)
6.5             	bot_wall	(-2.07917991e-01 2.02107329e-18 0.00000000e+00)	(-2.07917991e-01 2.02107329e-18 0.00000000e+00)
7               	top_wall	(-2.06492099e-01 2.26369296e-21 0.00000000e+00)	(-2.06492099e-01 2.26369296e-21 0.00000000e+00)
7               	bot_wall	(-2.06492439e-01 2.42633628e-18 0.00000000e+00)	(-2.06492439e-01 2.42633628e-18 0.00000000e+00)
7.5             	top_wall	(-2.05281900e-01 -4.19529959e-22 0.00000000e+00)	(-2.05281900e-01 -4.19529959e-22 0.00000000e+00)
7.5             	bot_wall	(-2.05282226e-01 2.60745983e-18 0.00000000e+00)	(-2.05282226e-01 2.60745983e-18 0.00000000e+00)
8               	top_wall	(-2.04310378e-01 5.41612626e-22 0.00000000e+00)	(-2.04310378e-01 5.41612626e-22 0.00000000e+00)
8               	bot_wall	(-2.04310693e-01 2.09425948e-18 0.00000000e+00)	(-2.04310693e-01 2.09425948e-18 0.00000000e+00)
8.5             	top_wall	(-2.03609764e-01 -3.03798763e-21 0.00000000e+00)	(-2.03609764e-01 -3.03798763e-21 0.00000000e+00)
8.5             	bot_wall	(-2.03610068e-01 1.71490204e-18 0.00000000e+00)	(-2.03610068e-01 1.71490204e-18 0.00000000e+00)
9               	top_wall	(-2.03173478e-01 4.19717633e-22 0.00000000e+00)	(-2.03173478e-01 4.19717633e-22 0.00000000e+00)
9               	bot_wall	(-2.03173771e-01 1.81564656e-18 0.00000000e+00)	(-2.03173771e-01 1.81564656e-18 0.00000000e+00)
9.5             	top_wall	(-2.02942628e-01 -2.80431979e-21 0.00000000e+00)	(-2.02942628e-01 -2.80431979e-21 0.00000000e+00)
9.5             	bot_wall	(-2.02942912e-01 2.36388082e-18 0.00000000e+00)	(-2.02942912e-01 2.36388082e-18 0.00000000e+00)
10              	top_wall	(-2.02867847e-01 -1.22327707e-21 0.00000000e+00)	(-2.02867847e-01 -1.22327707e-21 0.00000000e+00)
10              	bot_wall	(-2.02868121e-01 1.86881089e-18 0.00000000e+00)	(-2.02868121e-01 1.86881089e-18 0.00000000e+00)
10.5            	top_wall	(-2.02921240e-01 -9.70101918e-22 0.00000000e+00)	(-2.02921240e-01 -9.70101918e-22 0.00000000e+00)
10.5            	bot_wall	(-2.02921505e-01 2.36296082e-18 0.00000000e+00)	(-2.02921505e-01 2.36296082e-18 0.00000000e+00)
11              	top_wall	(-2.03085795e-01 6.51741222e-22 0.00000000e+00)	(-2.03085795e-01 6.51741222e-22 0.00000000e+00)
11              	bot_wall	(-2.03086051e-01 1.98742491e-18 0.00000000e+00)	(-2.03086051e-01 1.98742491e-18 0.00000000e+00)
11.5            	top_wall	(-2.03349442e-01 -1.46351540e-22 0.00000000e+00)	(-2.03349442e-01 -1.46351540e-22 0.00000000e+00)
11.5            	bot_wall	(-2.03349690e-01 2.63751958e-18 0.00000000e+00)	(-2.03349690e-01 2.63751958e-18 0.00000000e+00)
12              	top_wall	(-2.03702336e-01 2.79847212e-21 0.00000000e+00)	(-2.03702336e-01 2.79847212e-21 0.00000000e+00)
12              	bot_wall	(-2.03702577e-01 2.44674103e-18 0.00000000e+00)	(-2.03702577e-01 2.44674103e-18 0.00000000e+00)
12.5            	top_wall	(-2.04135508e-01 -2.37635112e-21 0.00000000e+00)	(-2.04135508e-01 -2.37635112e-21 0.00000000e+00)
