# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-3.22145103e-01 -3.12088010e-21 0.00000000e+00)	(-3.22145103e-01 -3.12088010e-21 0.00000000e+00)
0.5             	bot_wall	(-3.22145239e-01 3.01249700e-18 0.00000000e+00)	(-3.22145239e-01 3.01249700e-18 0.00000000e+00)
1               	top_wall	(-2.93136486e-01 -1.00787513e-21 0.00000000e+00)	(-2.93136486e-01 -1.00787513e-21 0.00000000e+00)
1               	bot_wall	(-2.93136553e-01 1.69448814e-18 0.00000000e+00)	(-2.93136553e-01 1.69448814e-18 0.00000000e+00)
1.5             	top_wall	(-2.78824451e-01 1.77309747e-21 0.00000000e+00)	(-2.78824451e-01 1.77309747e-21 0.00000000e+00)
1.5             	bot_wall	(-2.78824489e-01 2.30320813e-18 0.00000000e+00)	(-2.78824489e-01 2.30320813e-18 0.00000000e+00)
2               	top_wall	(-2.69672038e-01 -2.28297446e-21 0.00000000e+00)	(-2.69672038e-01 -2.28297446e-21 0.00000000e+00)
2               	bot_wall	(-2.69672064e-01 2.03691428e-18 0.00000000e+00)	(-2.69672064e-01 2.03691428e-18 0.00000000e+00)
2.5             	top_wall	(-2.63100732e-01 -7.43507778e-22 0.00000000e+00)	(-2.63100732e-01 -7.43507778e-22 0.00000000e+00)
2.5             	bot_wall	(-2.63100751e-01 2.39538916e-18 0.00000000e+00)	(-2.63100751e-01 2.39538916e-18 0.00000000e+00)
3               	top_wall	(-2.58055572e-01 -6.13118220e-22 0.00000000e+00)	(-2.58055572e-01 -6.13118220e-22 0.00000000e+00)
3               	bot_wall	(-2.58055585e-01 2.55520903e-18 0.00000000e+00)	(-2.58055585e-01 2.55520903e-18 0.00000000e+00)
3.5             	top_wall	(-2.54008946e-01 -9.01830767e-22 0.00000000e+00)	(-2.54008946e-01 -9.01830767e-22 0.00000000e+00)
3.5             	bot_wall	(-2.54008954e-01 2.65430427e-18 0.00000000e+00)	(-2.54008954e-01 2.65430427e-18 0.00000000e+00)
4               	top_wall	(-2.50660892e-01 -9.16398788e-22 0.00000000e+00)	(-2.50660892e-01 -9.16398788e-22 0.00000000e+00)
4               	bot_wall	(-2.50660897e-01 2.83981858e-18 0.00000000e+00)	(-2.50660897e-01 2.83981858e-18 0.00000000e+00)
4.5             	top_wall	(-2.47824793e-01 -1.92570000e-21 0.00000000e+00)	(-2.47824793e-01 -1.92570000e-21 0.00000000e+00)
4.5             	bot_wall	(-2.47824796e-01 2.20236816e-18 0.00000000e+00)	(-2.47824796e-01 2.20236816e-18 0.00000000e+00)
5               	top_wall	(-2.45378020e-01 5.64965125e-22 0.00000000e+00)	(-2.45378020e-01 5.64965125e-22 0.00000000e+00)
5               	bot_wall	(-2.45378020e-01 2.37925555e-18 0.00000000e+00)	(-2.45378020e-01 2.37925555e-18 0.00000000e+00)
