# y_plus_values_1, u_plus_values_1
9.206861, 8.122533
27.620612, 13.067698
46.034303, 14.813901
64.448024, 15.868366
82.861745, 16.623465
101.275466, 17.212336
119.689187, 17.695929
138.102909, 18.107161
156.516936, 18.465862
174.930658, 18.784819
193.344379, 19.072839
211.758100, 19.336165
230.171821, 19.579446
248.585542, 19.806151
266.999263, 20.018990
285.412984, 20.220655
303.826706, 20.416164
322.240120, 20.604868
340.653841, 20.786576
359.067562, 20.961847
377.481284, 21.131154
395.895005, 21.294798
414.308726, 21.453104
432.722447, 21.606220
451.136168, 21.754127
469.549889, 21.897297
487.963610, 22.035085
506.377332, 22.168567
524.791053, 22.286979
543.204774, 22.394841
561.618495, 22.496244
580.032216, 22.591189
598.445937, 22.679244
616.859659, 22.760194
635.273380, 22.833609
653.687101, 22.898628
672.100822, 22.955250
690.514543, 23.002400
708.928264, 23.040291
727.341985, 23.067849
745.755707, 23.084857
764.169428, 23.091531
782.583149, 23.087656
800.996870, 23.073016
819.410591, 23.048042
837.824312, 23.012734
856.238033, 22.967953
874.651755, 22.913699
893.065476, 22.850618
911.479197, 22.779140
929.892918, 22.700343
948.306639, 22.614010
966.720360, 22.520572
985.134081, 22.420676
1003.547803, 22.314536
1021.961524, 22.200216
1040.375245, 22.068886
1058.788966, 21.932175
1077.202687, 21.790512
1095.616408, 21.643682
1114.030130, 21.491835
1132.443851, 21.334864
1150.857572, 21.172576
1169.271293, 21.004712
1187.685014, 20.830970
1206.098735, 20.650920
1224.512456, 20.464023
1242.926178, 20.270087
1261.339899, 20.070294
1279.753620, 19.860555
1298.167341, 19.637554
1316.581062, 19.398707
1334.994783, 19.140764
1353.408504, 18.859440
1371.822226, 18.548901
1390.235947, 18.201180
1408.649668, 17.804587
1427.063389, 17.341491
1445.477110, 16.783170
1463.890831, 16.077976
1482.304553, 15.118671
1500.718274, 13.618031
1519.131995, 10.184077
