# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-4.50278865e-03 9.12270599e-29 0.00000000e+00)	(-4.50278865e-03 9.12270599e-29 0.00000000e+00)
0.5             	bot_wall	(-4.50278570e-03 2.56562330e-20 0.00000000e+00)	(-4.50278570e-03 2.56562330e-20 0.00000000e+00)
1               	top_wall	(-3.89474903e-03 4.80454312e-29 0.00000000e+00)	(-3.89474903e-03 4.80454312e-29 0.00000000e+00)
1               	bot_wall	(-3.89474696e-03 2.68027413e-20 0.00000000e+00)	(-3.89474696e-03 2.68027413e-20 0.00000000e+00)
1.5             	top_wall	(-3.57667177e-03 5.84935251e-29 0.00000000e+00)	(-3.57667177e-03 5.84935251e-29 0.00000000e+00)
1.5             	bot_wall	(-3.57667117e-03 2.19339468e-19 0.00000000e+00)	(-3.57667117e-03 2.19339468e-19 0.00000000e+00)
2               	top_wall	(-3.36840575e-03 1.90812813e-28 0.00000000e+00)	(-3.36840575e-03 1.90812813e-28 0.00000000e+00)
2               	bot_wall	(-3.36840603e-03 8.96928414e-20 0.00000000e+00)	(-3.36840603e-03 8.96928414e-20 0.00000000e+00)
2.5             	top_wall	(-3.21754700e-03 3.99783525e-29 0.00000000e+00)	(-3.21754700e-03 3.99783525e-29 0.00000000e+00)
2.5             	bot_wall	(-3.21754778e-03 4.31852751e-20 0.00000000e+00)	(-3.21754778e-03 4.31852751e-20 0.00000000e+00)
3               	top_wall	(-3.10174870e-03 1.18003136e-28 0.00000000e+00)	(-3.10174870e-03 1.18003136e-28 0.00000000e+00)
3               	bot_wall	(-3.10174967e-03 1.38711888e-19 0.00000000e+00)	(-3.10174967e-03 1.38711888e-19 0.00000000e+00)
3.5             	top_wall	(-3.00944637e-03 -1.41506584e-28 0.00000000e+00)	(-3.00944637e-03 -1.41506584e-28 0.00000000e+00)
3.5             	bot_wall	(-3.00944737e-03 1.02992595e-19 0.00000000e+00)	(-3.00944737e-03 1.02992595e-19 0.00000000e+00)
4               	top_wall	(-2.93389738e-03 5.05621239e-29 0.00000000e+00)	(-2.93389738e-03 5.05621239e-29 0.00000000e+00)
4               	bot_wall	(-2.93389833e-03 1.88186083e-20 0.00000000e+00)	(-2.93389833e-03 1.88186083e-20 0.00000000e+00)
4.5             	top_wall	(-2.87083739e-03 1.67761010e-28 0.00000000e+00)	(-2.87083739e-03 1.67761010e-28 0.00000000e+00)
4.5             	bot_wall	(-2.87083825e-03 -1.62221973e-20 0.00000000e+00)	(-2.87083825e-03 -1.62221973e-20 0.00000000e+00)
5               	top_wall	(-2.81740520e-03 3.34518978e-28 0.00000000e+00)	(-2.81740520e-03 3.34518978e-28 0.00000000e+00)
