# y_plus_values_1, u_plus_values_1
0.303294, 0.303295
0.909882, 0.909882
1.516468, 1.515453
2.123055, 2.120819
2.729642, 2.726204
3.336229, 3.330955
3.942816, 3.935133
4.549403, 4.539290
5.156000, 5.143230
5.762587, 5.746179
6.369174, 6.349149
6.975761, 6.952098
7.582349, 7.554018
8.188936, 8.155740
8.795523, 8.757481
9.402110, 9.358589
10.008697, 9.959103
10.615274, 10.559636
11.221861, 11.159932
11.828448, 11.759238
12.435035, 12.358544
13.041622, 12.957850
13.648209, 13.556126
14.254796, 14.154224
14.861383, 14.752322
15.467970, 15.349766
16.074557, 15.946656
16.681145, 16.543546
17.287732, 17.140198
17.894319, 17.735860
18.500906, 18.331522
19.107493, 18.927185
19.714080, 19.521817
20.320667, 20.116271
20.927254, 20.710745
21.533841, 21.304625
22.140428, 21.897911
22.747015, 22.490999
23.353602, 23.084087
23.960189, 23.675986
24.566776, 24.268084
25.173364, 24.859984
25.779951, 25.451091
26.386538, 26.041803
26.993125, 26.632712
27.599712, 27.222830
28.206299, 27.812353
28.812886, 28.402074
29.419473, 28.991400
30.026060, 29.579735
30.632647, 30.168268
31.239234, 30.756603
31.845821, 31.343948
32.452408, 31.931095
33.058995, 32.518242
33.665583, 33.104597
34.272170, 33.690556
34.878757, 34.276713
35.485344, 34.862276
36.091931, 35.447047
36.698518, 36.031817
37.305105, 36.616588
37.911692, 37.200171
38.518279, 37.783753
39.124866, 38.367336
39.731453, 38.950126
40.338040, 39.532521
40.944627, 40.114717
41.551215, 40.696913
42.157802, 41.277922
42.764389, 41.859128
43.370976, 42.440136
43.977563, 43.020154
44.584150, 43.600172
45.190737, 44.179992
45.797324, 44.759218
46.403911, 45.338048
47.010498, 45.916680
47.617085, 46.494916
48.223672, 47.072558
48.830259, 47.650002
49.436846, 48.227445
50.043434, 48.803899
50.650122, 49.379957
51.256709, 49.956212
51.863296, 50.531874
52.469883, 51.106941
53.076470, 51.682009
53.683057, 52.256680
54.289644, 52.830361
54.896231, 53.404241
55.502818, 53.978120
56.109405, 54.550811
56.715992, 55.123304
57.322579, 55.695995
57.929166, 56.267894
58.535754, 56.839397
59.142341, 57.410702
59.748928, 57.981809
60.355515, 58.552124
60.962102, 59.122241
61.568689, 59.692556
62.175276, 60.261484
62.781863, 60.830413
63.388450, 61.399341
63.995037, 61.967676
64.601624, 62.535417
65.208211, 63.103157
65.814798, 63.670699
66.421385, 64.237252
67.027973, 64.803804
67.634560, 65.370356
68.241147, 65.935721
68.847734, 66.501085
69.454321, 67.066449
70.060908, 67.631021
70.667495, 68.195197
71.274082, 68.759175
71.880669, 69.322955
72.487256, 69.885943
73.093843, 70.448733
73.700430, 71.011721
74.307017, 71.573520
74.913605, 72.135320
75.520192, 72.696922
76.126779, 73.257929
76.733366, 73.818343
77.339953, 74.378954
77.946540, 74.938972
78.553127, 75.498197
79.159714, 76.057423
79.766301, 76.616648
80.372888, 77.174883
80.979475, 77.732920
81.586062, 78.290958
82.192649, 78.848401
82.799236, 79.405250
83.405824, 79.962099
84.012411, 80.518552
84.618998, 81.074015
85.225585, 81.629676
85.832172, 82.185337
86.438759, 82.739809
87.045346, 83.294084
87.651933, 83.848557
88.258520, 84.402237
88.865107, 84.955522
89.471694, 85.508609
90.078281, 86.061497
90.684868, 86.613396
91.291455, 87.165492
91.898043, 87.717390
92.504630, 88.268299
93.111217, 88.819009
93.717804, 89.369719
94.324391, 89.919835
94.930978, 90.469357
95.537565, 91.019078
96.144152, 91.568204
96.750739, 92.116538
97.357326, 92.664871
97.963913, 93.213205
98.570500, 93.760351
99.177087, 94.307497
99.783675, 94.854445
100.390262, 95.400798
100.996849, 95.946954
101.603840, 96.492912
102.209821, 97.038473
102.816812, 97.583045
103.422793, 98.127814
104.029784, 98.672584
104.636775, 99.215967
105.242756, 99.759548
105.849747, 100.302932
106.455728, 100.845523
107.062719, 101.387916
107.669710, 101.930111
108.275692, 102.472108
108.882683, 103.013115
109.488664, 103.554320
110.095655, 104.095327
110.702646, 104.635146
111.308627, 105.174965
111.915618, 105.714784
112.521599, 106.253810
113.128590, 106.792441
113.735581, 107.331270
114.341562, 107.869306
114.948553, 108.406749
115.554534, 108.944191
116.161525, 109.481634
116.768517, 110.017888
117.374498, 110.554143
117.981489, 111.090397
118.587470, 111.625859
119.194461, 112.160727
119.801452, 112.695793
120.407433, 113.230266
121.014424, 113.764144
121.620405, 114.298022
122.227396, 114.831702
122.834387, 115.364194
123.440368, 115.896883
124.047359, 116.429375
124.653341, 116.961075
125.260332, 117.492379
125.867323, 118.023881
126.473304, 118.554788
127.080295, 119.084904
127.686276, 119.615019
128.293267, 120.145135
128.900258, 120.674062
129.506239, 121.203188
130.113230, 121.732115
130.719211, 122.260052
131.326202, 122.787792
131.933193, 123.315531
132.539174, 123.842874
133.146166, 124.369425
133.752147, 124.895778
134.359138, 125.422329
134.966129, 125.947494
135.572110, 126.472857
136.179101, 126.998220
136.785082, 127.522593
137.392073, 128.046569
137.999064, 128.570744
138.605045, 129.094325
139.212036, 129.617312
139.818017, 130.140100
140.425008, 130.662889
141.031999, 131.184489
141.637981, 131.706288
142.244972, 132.227888
142.850953, 132.748696
143.457944, 133.269109
144.064935, 133.789521
144.670916, 134.309537
145.277907, 134.828761
145.883888, 135.347985
146.490879, 135.867012
147.097870, 136.385047
147.703851, 136.903083
148.310842, 137.421119
148.916823, 137.938165
149.523815, 138.455013
150.130806, 138.971861
150.736787, 139.488115
151.343778, 140.003774
151.949759, 140.519434
152.556750, 141.034896
153.163741, 141.549169
153.769722, 142.063640
154.376713, 142.578112
154.982694, 143.091593
155.589685, 143.604679
156.196676, 144.117962
156.802657, 144.630651
157.409648, 145.142548
158.015630, 145.654446
158.622621, 146.166343
159.229612, 146.677052
159.835593, 147.187761
160.442584, 147.698470
161.048565, 148.208189
161.655556, 148.717710
162.262547, 149.227230
162.868528, 149.736355
163.475519, 150.244688
164.081500, 150.753021
164.688491, 151.261155
165.295482, 151.768300
165.901463, 152.275444
166.508455, 152.782589
167.114436, 153.288743
167.721427, 153.794700
168.328418, 154.300458
168.934399, 154.805820
169.541390, 155.310390
170.147371, 155.815159
170.754362, 156.319531
171.361353, 156.823111
171.967334, 157.326691
172.574325, 157.830073
173.180306, 158.332663
173.787297, 158.834857
174.394288, 159.337051
175.000270, 159.838651
175.607261, 160.339854
176.213242, 160.840860
176.820233, 161.341866
177.427224, 161.841683
178.033205, 162.341501
178.640196, 162.841318
179.246177, 163.340146
179.853168, 163.838577
180.460159, 164.337207
181.066140, 164.835242
181.673131, 165.332683
182.279112, 165.830125
182.886104, 166.327368
183.493095, 166.823621
184.099076, 167.319676
184.706067, 167.815731
185.312048, 168.310994
185.919039, 168.806059
186.526030, 169.301124
187.132011, 169.795397
187.739002, 170.289274
188.344983, 170.782952
188.951974, 171.276631
189.558965, 171.769122
190.164946, 172.261612
190.771937, 172.754103
191.377919, 173.245604
191.984910, 173.737104
192.591901, 174.228406
193.197882, 174.719115
193.804873, 175.209229
194.410854, 175.699343
195.017845, 176.189260
195.624836, 176.678186
196.230817, 177.167112
196.837808, 177.656038
197.443789, 178.143974
198.050780, 178.631712
198.657771, 179.119252
199.263753, 179.606396
199.870744, 180.092748
200.476725, 180.579298
201.083716, 181.065451
201.690707, 181.550813
202.296688, 182.035977
202.903679, 182.521338
203.510670, 183.005512
204.116651, 183.489686
204.723642, 183.973661
205.329623, 184.457042
205.936614, 184.940028
206.543605, 185.422815
207.149586, 185.905602
207.756578, 186.387202
208.362559, 186.868801
208.969550, 187.350400
209.576541, 187.831009
210.182522, 188.311420
210.789513, 188.791633
211.395494, 189.271450
212.002485, 189.750673
212.609476, 190.229896
213.215457, 190.708921
213.822448, 191.186757
214.428429, 191.664792
215.035420, 192.142827
215.642411, 192.619673
216.248393, 193.096520
216.855384, 193.573168
217.461365, 194.049421
218.068356, 194.524881
218.675347, 195.000540
219.281328, 195.475802
219.888319, 195.950272
220.494300, 196.424545
221.101291, 196.899015
221.708282, 197.372297
222.314263, 197.845579
222.921254, 198.319059
223.527235, 198.790361
224.134226, 199.263643
224.741218, 199.734945
225.347199, 200.206247
225.954190, 200.677549
226.560171, 201.146870
227.167162, 201.618172
227.774153, 202.087494
228.380134, 202.556815
228.987125, 203.026137
229.593106, 203.495458
230.200097, 203.964780
230.807088, 204.432121
231.413069, 204.901443
232.020060, 205.366804
232.626042, 205.834145
233.233033, 206.301486
233.840024, 206.766847
234.446005, 207.234189
235.052996, 207.699550
235.658977, 208.164911
236.265968, 208.630272
236.872959, 209.093653
237.478940, 209.559014
238.085931, 210.022395
238.691912, 210.485775
239.298903, 210.947176
239.905894, 211.410557
240.511875, 211.873937
241.118867, 212.335338
241.724848, 212.796739
242.331839, 213.258139
242.938830, 213.719540
243.544811, 214.180940
244.151802, 214.640360
244.757783, 215.099781
245.364774, 215.559201
245.971765, 216.018621
246.577746, 216.476061
247.184737, 216.935482
247.790718, 217.392922
248.397709, 217.850362
249.004700, 218.307802
249.610682, 218.763261
250.217673, 219.220701
250.823654, 219.676161
251.430645, 220.131621
252.037636, 220.587081
252.643617, 221.042540
253.250608, 221.498000
253.856589, 221.951480
254.463580, 222.404959
255.070571, 222.858439
255.676552, 223.311918
256.283543, 223.765398
256.889524, 224.216897
257.496516, 224.670376
258.103507, 225.121876
258.709488, 225.573375
259.316479, 226.024874
259.922460, 226.474393
260.529451, 226.925892
261.136442, 227.375411
261.742423, 227.824930
262.349414, 228.274449
262.955395, 228.723968
263.562386, 229.171507
264.169377, 229.619046
264.775358, 230.066584
265.382349, 230.514123
265.988331, 230.959682
266.595322, 231.407220
267.202313, 231.852779
267.808294, 232.300317
268.415285, 232.745876
269.021266, 233.191434
269.628257, 233.636993
270.235248, 234.080571
270.841229, 234.524149
271.448220, 234.967727
272.054201, 235.411306
272.661192, 235.852903
273.268183, 236.296482
273.874164, 236.740060
274.481156, 237.181658
275.087137, 237.623256
275.694128, 238.064854
276.301119, 238.504471
276.907100, 238.944089
277.514091, 239.385687
278.120072, 239.825305
278.727063, 240.264922
279.334054, 240.704540
279.940035, 241.142177
280.547026, 241.579815
281.153007, 242.017452
281.759998, 242.455090
282.366989, 242.892727
282.972971, 243.330365
283.579962, 243.766022
284.185943, 244.203659
284.792934, 244.637336
285.399925, 245.072993
286.005906, 245.508650
286.612897, 245.942327
287.218878, 246.376004
287.825869, 246.811661
288.432860, 247.243358
289.038841, 247.677035
289.645832, 248.108731
290.251813, 248.542408
290.858805, 248.974105
291.465796, 249.405802
292.071777, 249.837498
292.678768, 250.269195
293.284749, 250.698911
293.891740, 251.130608
294.498731, 251.560324
295.104712, 251.988060
295.711703, 252.417777
296.317684, 252.847493
296.924675, 253.275229
297.531666, 253.702965
298.137647, 254.130701
298.744638, 254.558438
299.350620, 254.984193
299.957611, 255.411930
300.564602, 255.837685
301.170583, 256.263441
301.777574, 256.689197
302.383555, 257.114953
302.990546, 257.538729
303.597537, 257.962504
304.203518, 258.388260
304.810509, 258.810055
305.416490, 259.233831
306.023481, 259.657607
306.630472, 260.079402
307.236454, 260.501197
307.843445, 260.924973
308.449426, 261.346768
309.056417, 261.766583
309.663408, 262.188379
