# y_plus_values_1, u_plus_values_1
1.574808, 1.573164
4.724428, 4.719481
7.874038, 5.817069
11.023653, 6.509822
14.173268, 7.202574
17.322884, 7.744801
20.472499, 8.139506
23.622114, 8.534186
26.771782, 8.905555
29.921397, 9.166943
33.071012, 9.428331
36.220627, 9.689696
39.370243, 9.893782
42.519858, 10.087332
45.669473, 10.280882
48.819088, 10.453695
51.968704, 10.606986
55.118266, 10.760301
58.267882, 10.908681
61.417497, 11.035538
64.567112, 11.162371
67.716727, 11.289203
70.866342, 11.400113
74.015958, 11.508306
77.165573, 11.616499
80.315188, 11.717445
83.464803, 11.811813
86.614419, 11.906204
89.764034, 11.998498
92.913649, 12.082235
96.063264, 12.165948
99.212879, 12.249685
102.362495, 12.326104
105.512110, 12.401379
108.661725, 12.476653
111.811340, 12.548281
114.960956, 12.616691
118.110571, 12.685101
121.260186, 12.752367
124.409801, 12.815080
127.559416, 12.877817
130.709032, 12.940554
133.858647, 12.999096
137.008262, 13.057066
140.157877, 13.115012
143.307493, 13.170741
146.457108, 13.224587
149.606723, 13.278457
152.756338, 13.331564
155.905953, 13.381906
159.055569, 13.432248
162.205184, 13.482591
165.354799, 13.530215
168.504414, 13.577483
171.654030, 13.624750
174.803645, 13.670539
177.953260, 13.715089
181.102875, 13.759639
184.252490, 13.803665
187.402106, 13.845831
190.551721, 13.887997
193.701336, 13.930164
196.850951, 13.970423
200.000567, 14.010444
203.150182, 14.050489
206.299797, 14.089414
209.449412, 14.127528
212.599027, 14.165642
215.748643, 14.203351
218.898258, 14.239701
222.047873, 14.276075
225.197488, 14.312449
228.347104, 14.347393
231.496719, 14.382194
234.646334, 14.416995
237.795949, 14.450962
240.945564, 14.484309
244.095180, 14.517656
247.244795, 14.550693
250.394410, 14.582752
253.544025, 14.614788
256.693641, 14.646848
259.843256, 14.677764
262.993395, 14.708608
266.143011, 14.739428
269.292626, 14.769629
272.442241, 14.799352
275.591856, 14.829076
278.741472, 14.858538
281.891087, 14.887237
285.040702, 14.915912
288.190317, 14.944611
291.339932, 14.972404
294.489548, 15.000125
297.639163, 15.027871
300.788778, 15.055068
303.938393, 15.081907
307.088009, 15.108747
310.237624, 15.135372
313.387239, 15.161401
316.536854, 15.187407
319.686469, 15.213436
322.836085, 15.238726
325.985700, 15.263945
329.135315, 15.289187
332.284930, 15.313977
335.434546, 15.338504
338.584161, 15.363008
341.733776, 15.387345
344.883391, 15.411157
348.033006, 15.434994
351.182622, 15.458806
354.332237, 15.482022
357.481852, 15.505215
360.631467, 15.528408
363.781083, 15.551195
366.930698, 15.573792
370.080313, 15.596365
373.229928, 15.618771
376.379543, 15.640772
379.529159, 15.662773
382.678774, 15.684774
385.828389, 15.706274
388.978004, 15.727750
392.127619, 15.749203
395.277235, 15.770346
398.426850, 15.791298
401.576465, 15.812250
404.726080, 15.833059
407.875696, 15.853510
411.025311, 15.873986
414.174926, 15.894437
417.324541, 15.914460
420.474156, 15.934458
423.623772, 15.954481
426.773387, 15.974193
429.923002, 15.993739
433.072617, 16.013309
436.222233, 16.032735
439.371848, 16.051876
442.521463, 16.071016
445.671078, 16.090157
448.820693, 16.108916
451.970309, 16.127651
455.119924, 16.146386
458.269539, 16.164883
461.419154, 16.183237
464.568770, 16.201591
467.718385, 16.219850
470.868000, 16.237846
474.017615, 16.255842
477.167230, 16.273839
480.316846, 16.291478
483.466461, 16.309116
486.616076, 16.326779
489.765691, 16.344203
492.915307, 16.361508
496.064922, 16.378814
499.214537, 16.396023
502.364152, 16.412995
505.513767, 16.429990
508.663383, 16.446961
511.812998, 16.463647
514.962613, 16.480332
518.112228, 16.497017
521.261844, 16.513488
524.411459, 16.529888
527.563172, 16.546263
530.709640, 16.562543
533.861353, 16.578657
537.007822, 16.594746
540.159535, 16.610836
543.311248, 16.626663
546.457717, 16.642490
549.609429, 16.658294
552.755898, 16.673954
555.907611, 16.689519
559.059324, 16.705060
562.205793, 16.720554
565.357506, 16.735857
568.503974, 16.751160
571.655687, 16.766439
574.807400, 16.781503
577.953869, 16.796568
581.105582, 16.811632
584.252050, 16.826530
587.403763, 16.841356
590.555476, 16.856182
593.701945, 16.870913
596.853658, 16.885524
600.000126, 16.900112
603.151839, 16.914700
606.303552, 16.929073
609.450021, 16.943423
612.601734, 16.957796
615.748203, 16.972026
618.899915, 16.986185
622.051628, 17.000344
625.198097, 17.014431
628.349810, 17.028375
631.496279, 17.042319
634.647992, 17.056263
637.799704, 17.070017
640.946173, 17.083770
644.097886, 17.097524
647.244355, 17.111134
650.396068, 17.124697
653.547781, 17.138260
656.694249, 17.151728
659.845962, 17.165100
662.992431, 17.178472
666.144144, 17.191820
669.295857, 17.205002
672.442325, 17.218183
675.594038, 17.231365
678.740507, 17.244427
681.892220, 17.257441
685.043933, 17.270432
688.190402, 17.283375
691.342114, 17.296223
694.488583, 17.309047
697.640296, 17.321871
700.792009, 17.334552
703.938478, 17.347209
707.090190, 17.359890
710.236659, 17.372427
713.388372, 17.384941
716.540085, 17.397455
719.686554, 17.409874
722.838267, 17.422221
725.984735, 17.434568
729.136448, 17.446892
732.288161, 17.459096
735.434630, 17.471276
738.586343, 17.483457
741.732811, 17.495542
744.884524, 17.507603
748.036237, 17.519640
751.182706, 17.531630
754.334419, 17.543524
757.480888, 17.555418
760.632600, 17.567289
763.784313, 17.579040
766.930782, 17.590791
770.082495, 17.602543
773.228964, 17.614198
776.380677, 17.625807
779.532389, 17.637439
782.678858, 17.648999
785.830571, 17.660465
788.977040, 17.671954
792.128753, 17.683395
795.280466, 17.694741
798.426934, 17.706087
801.578647, 17.717433
804.725116, 17.728684
807.876829, 17.739911
811.028542, 17.751114
814.175010, 17.762293
817.326723, 17.773377
820.473192, 17.784485
