# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-3.85670316e-03 -8.62748641e-30 0.00000000e+00)	(-3.85670316e-03 -8.62748641e-30 0.00000000e+00)
0.5             	bot_wall	(-3.85670244e-03 -2.05971820e-20 0.00000000e+00)	(-3.85670244e-03 -2.05971820e-20 0.00000000e+00)
1               	top_wall	(-2.46344787e-03 4.85397980e-30 0.00000000e+00)	(-2.46344787e-03 4.85397980e-30 0.00000000e+00)
1               	bot_wall	(-2.46344695e-03 1.45626205e-20 0.00000000e+00)	(-2.46344695e-03 1.45626205e-20 0.00000000e+00)
1.5             	top_wall	(-2.54782002e-03 -4.41588770e-29 0.00000000e+00)	(-2.54782002e-03 -4.41588770e-29 0.00000000e+00)
1.5             	bot_wall	(-2.54781958e-03 1.33041556e-20 0.00000000e+00)	(-2.54781958e-03 1.33041556e-20 0.00000000e+00)
2               	top_wall	(-2.74039382e-03 -4.55751039e-29 0.00000000e+00)	(-2.74039382e-03 -4.55751039e-29 0.00000000e+00)
2               	bot_wall	(-2.74039356e-03 2.02777339e-20 0.00000000e+00)	(-2.74039356e-03 2.02777339e-20 0.00000000e+00)
2.5             	top_wall	(-2.59671732e-03 2.03411581e-29 0.00000000e+00)	(-2.59671732e-03 2.03411581e-29 0.00000000e+00)
2.5             	bot_wall	(-2.59671705e-03 3.94481097e-20 0.00000000e+00)	(-2.59671705e-03 3.94481097e-20 0.00000000e+00)
3               	top_wall	(-2.36891062e-03 1.57780844e-28 0.00000000e+00)	(-2.36891062e-03 1.57780844e-28 0.00000000e+00)
3               	bot_wall	(-2.36891038e-03 1.89106119e-20 0.00000000e+00)	(-2.36891038e-03 1.89106119e-20 0.00000000e+00)
3.5             	top_wall	(-2.18904778e-03 3.11347028e-28 0.00000000e+00)	(-2.18904778e-03 3.11347028e-28 0.00000000e+00)
3.5             	bot_wall	(-2.18904761e-03 3.91246604e-20 0.00000000e+00)	(-2.18904761e-03 3.91246604e-20 0.00000000e+00)
4               	top_wall	(-2.04977480e-03 2.96140819e-28 0.00000000e+00)	(-2.04977480e-03 2.96140819e-28 0.00000000e+00)
4               	bot_wall	(-2.04977470e-03 5.61046731e-20 0.00000000e+00)	(-2.04977470e-03 5.61046731e-20 0.00000000e+00)
4.5             	top_wall	(-1.93296344e-03 1.69507108e-28 0.00000000e+00)	(-1.93296344e-03 1.69507108e-28 0.00000000e+00)
4.5             	bot_wall	(-1.93296340e-03 2.67259050e-20 0.00000000e+00)	(-1.93296340e-03 2.67259050e-20 0.00000000e+00)
5               	top_wall	(-1.82448637e-03 -1.86706552e-28 0.00000000e+00)	(-1.82448637e-03 -1.86706552e-28 0.00000000e+00)
5               	bot_wall	(-1.82448637e-03 3.76284636e-20 0.00000000e+00)	(-1.82448637e-03 3.76284636e-20 0.00000000e+00)
5.5             	top_wall	(-1.71874810e-03 -1.33476220e-27 0.00000000e+00)	(-1.71874810e-03 -1.33476220e-27 0.00000000e+00)
5.5             	bot_wall	(-1.71874812e-03 3.24035730e-20 0.00000000e+00)	(-1.71874812e-03 3.24035730e-20 0.00000000e+00)
6               	top_wall	(-1.61944776e-03 -3.90981155e-27 0.00000000e+00)	(-1.61944776e-03 -3.90981155e-27 0.00000000e+00)
6               	bot_wall	(-1.61944780e-03 3.70265289e-20 0.00000000e+00)	(-1.61944780e-03 3.70265289e-20 0.00000000e+00)
6.5             	top_wall	(-1.52878795e-03 -8.11340296e-27 0.00000000e+00)	(-1.52878795e-03 -8.11340296e-27 0.00000000e+00)
6.5             	bot_wall	(-1.52878802e-03 5.67331133e-20 0.00000000e+00)	(-1.52878802e-03 5.67331133e-20 0.00000000e+00)
7               	top_wall	(-1.44763254e-03 -1.26283705e-26 0.00000000e+00)	(-1.44763254e-03 -1.26283705e-26 0.00000000e+00)
7               	bot_wall	(-1.44763263e-03 2.72851217e-20 0.00000000e+00)	(-1.44763263e-03 2.72851217e-20 0.00000000e+00)
7.5             	top_wall	(-1.37645133e-03 -1.25243047e-26 0.00000000e+00)	(-1.37645133e-03 -1.25243047e-26 0.00000000e+00)
7.5             	bot_wall	(-1.37645144e-03 4.09270797e-20 0.00000000e+00)	(-1.37645144e-03 4.09270797e-20 0.00000000e+00)
8               	top_wall	(-1.31512370e-03 1.28741155e-27 0.00000000e+00)	(-1.31512370e-03 1.28741155e-27 0.00000000e+00)
8               	bot_wall	(-1.31512381e-03 7.00929879e-20 0.00000000e+00)	(-1.31512381e-03 7.00929879e-20 0.00000000e+00)
8.5             	top_wall	(-1.26296415e-03 4.31840150e-26 0.00000000e+00)	(-1.26296415e-03 4.31840150e-26 0.00000000e+00)
8.5             	bot_wall	(-1.26296426e-03 4.83040135e-20 0.00000000e+00)	(-1.26296426e-03 4.83040135e-20 0.00000000e+00)
9               	top_wall	(-1.22362995e-03 1.35808557e-25 0.00000000e+00)	(-1.22362995e-03 1.35808557e-25 0.00000000e+00)
9               	bot_wall	(-1.22363007e-03 6.29730402e-20 0.00000000e+00)	(-1.22363007e-03 6.29730402e-20 0.00000000e+00)
9.5             	top_wall	(-1.19190650e-03 3.08714671e-25 0.00000000e+00)	(-1.19190650e-03 3.08714671e-25 0.00000000e+00)
9.5             	bot_wall	(-1.19190663e-03 7.30543770e-20 0.00000000e+00)	(-1.19190663e-03 7.30543770e-20 0.00000000e+00)
10              	top_wall	(-1.16447900e-03 5.99819672e-25 0.00000000e+00)	(-1.16447900e-03 5.99819672e-25 0.00000000e+00)
10              	bot_wall	(-1.16447914e-03 2.18296536e-20 0.00000000e+00)	(-1.16447914e-03 2.18296536e-20 0.00000000e+00)
10.5            	top_wall	(-1.14053506e-03 1.05394201e-24 0.00000000e+00)	(-1.14053506e-03 1.05394201e-24 0.00000000e+00)
10.5            	bot_wall	(-1.14053520e-03 2.04797924e-20 0.00000000e+00)	(-1.14053520e-03 2.04797924e-20 0.00000000e+00)
11              	top_wall	(-1.11945271e-03 1.72137420e-24 0.00000000e+00)	(-1.11945271e-03 1.72137420e-24 0.00000000e+00)
11              	bot_wall	(-1.11945284e-03 1.70637251e-20 0.00000000e+00)	(-1.11945284e-03 1.70637251e-20 0.00000000e+00)
11.5            	top_wall	(-1.10077531e-03 2.65877128e-24 0.00000000e+00)	(-1.10077531e-03 2.65877128e-24 0.00000000e+00)
11.5            	bot_wall	(-1.10077544e-03 1.36249879e-20 0.00000000e+00)	(-1.10077544e-03 1.36249879e-20 0.00000000e+00)
12              	top_wall	(-1.08414924e-03 3.92890178e-24 0.00000000e+00)	(-1.08414924e-03 3.92890178e-24 0.00000000e+00)
12              	bot_wall	(-1.08414938e-03 3.62866064e-20 0.00000000e+00)	(-1.08414938e-03 3.62866064e-20 0.00000000e+00)
12.5            	top_wall	(-1.06929137e-03 5.59975026e-24 0.00000000e+00)	(-1.06929137e-03 5.59975026e-24 0.00000000e+00)
12.5            	bot_wall	(-1.06929150e-03 2.77041571e-20 0.00000000e+00)	(-1.06929150e-03 2.77041571e-20 0.00000000e+00)
13              	top_wall	(-1.05597092e-03 7.74157228e-24 0.00000000e+00)	(-1.05597092e-03 7.74157228e-24 0.00000000e+00)
13              	bot_wall	(-1.05597106e-03 1.30759101e-20 0.00000000e+00)	(-1.05597106e-03 1.30759101e-20 0.00000000e+00)
13.5            	top_wall	(-1.04399756e-03 1.04244481e-23 0.00000000e+00)	(-1.04399756e-03 1.04244481e-23 0.00000000e+00)
13.5            	bot_wall	(-1.04399770e-03 1.99024846e-20 0.00000000e+00)	(-1.04399770e-03 1.99024846e-20 0.00000000e+00)
14              	top_wall	(-1.03321242e-03 1.37149609e-23 0.00000000e+00)	(-1.03321242e-03 1.37149609e-23 0.00000000e+00)
14              	bot_wall	(-1.03321255e-03 1.07310667e-20 0.00000000e+00)	(-1.03321255e-03 1.07310667e-20 0.00000000e+00)
14.5            	top_wall	(-1.02348093e-03 1.76745979e-23 0.00000000e+00)	(-1.02348093e-03 1.76745979e-23 0.00000000e+00)
14.5            	bot_wall	(-1.02348107e-03 1.64883289e-20 0.00000000e+00)	(-1.02348107e-03 1.64883289e-20 0.00000000e+00)
15              	top_wall	(-1.01468814e-03 2.23578572e-23 0.00000000e+00)	(-1.01468814e-03 2.23578572e-23 0.00000000e+00)
15              	bot_wall	(-1.01468828e-03 1.57271973e-20 0.00000000e+00)	(-1.01468828e-03 1.57271973e-20 0.00000000e+00)
15.5            	top_wall	(-1.00672987e-03 2.78098278e-23 0.00000000e+00)	(-1.00672987e-03 2.78098278e-23 0.00000000e+00)
15.5            	bot_wall	(-1.00673001e-03 9.75342992e-21 0.00000000e+00)	(-1.00673001e-03 9.75342992e-21 0.00000000e+00)
16              	top_wall	(-9.99529893e-04 3.40639703e-23 0.00000000e+00)	(-9.99529893e-04 3.40639703e-23 0.00000000e+00)
16              	bot_wall	(-9.99530027e-04 1.05062994e-20 0.00000000e+00)	(-9.99530027e-04 1.05062994e-20 0.00000000e+00)
16.5            	top_wall	(-9.93016022e-04 4.11394479e-23 0.00000000e+00)	(-9.93016022e-04 4.11394479e-23 0.00000000e+00)
16.5            	bot_wall	(-9.93016153e-04 1.88127765e-20 0.00000000e+00)	(-9.93016153e-04 1.88127765e-20 0.00000000e+00)
