# y_plus_values_1, u_plus_values_1
1.568239, 1.568238
4.704721, 4.704710
7.841193, 7.835288
10.977670, 10.964692
14.114147, 14.094096
17.250625, 17.219934
20.387102, 20.342277
23.523579, 23.464621
26.660108, 26.585815
29.796586, 29.700858
32.933063, 32.816140
36.069540, 35.931422
39.206017, 39.040481
42.342494, 42.148582
45.478972, 45.256683
48.615449, 48.361194
51.751926, 51.462354
54.888351, 54.563274
58.024828, 57.662998
61.161305, 60.756977
64.297783, 63.850956
67.434260, 66.944935
70.570737, 70.032690
73.707214, 73.119488
76.843691, 76.206287
79.980169, 79.289494
83.116646, 82.369112
86.253123, 85.448729
89.389600, 88.526910
92.526077, 91.599586
95.662555, 94.672022
98.799032, 97.744698
101.935509, 100.811151
105.071986, 103.876406
108.208463, 106.941901
111.344941, 110.003327
114.481418, 113.061642
117.617895, 116.119956
120.754372, 119.176594
123.890849, 122.227728
127.027327, 125.278622
130.163804, 128.329755
133.300281, 131.374426
136.436758, 134.418378
139.573235, 137.462331
142.709713, 140.502214
145.846190, 143.538986
148.982667, 146.575518
152.119144, 149.610615
155.255621, 152.640205
158.392099, 155.669557
161.528576, 158.699148
164.665053, 161.722037
167.801530, 164.744207
170.938007, 167.766378
174.074485, 170.784719
177.210962, 173.799709
180.347439, 176.814699
183.483916, 179.828013
186.620393, 182.835822
189.756871, 185.843392
192.893348, 188.851201
196.029825, 191.852308
199.166302, 194.852697
202.302779, 197.853085
205.439257, 200.849405
208.575734, 203.842613
211.712211, 206.835582
214.848688, 209.826875
217.985165, 212.812902
221.121643, 215.798690
224.258120, 218.784478
227.394597, 221.763564
230.531074, 224.741931
233.667551, 227.720538
236.804029, 230.694598
239.940506, 233.665784
243.076983, 236.636971
246.213460, 239.607440
249.349937, 242.570728
252.486415, 245.534016
255.622892, 248.497304
258.759369, 251.453411
261.896368, 254.409518
265.032846, 257.365625
268.169323, 260.319338
271.305800, 263.268265
274.442277, 266.217191
277.578754, 269.163724
280.715232, 272.105469
283.851709, 275.047215
286.988186, 277.988960
290.124663, 280.923525
293.261140, 283.855696
296.397618, 286.790260
299.534095, 289.720038
302.670572, 292.645028
305.807049, 295.572412
308.943526, 298.497402
312.080004, 301.417605
315.216481, 304.335414
318.352958, 307.255617
321.489435, 310.166246
324.625912, 313.076874
327.762390, 315.989896
330.898867, 318.895737
334.035344, 321.799185
337.171821, 324.702633
340.308298, 327.606081
343.444776, 330.502347
346.581253, 333.398614
349.717730, 336.292488
352.854207, 339.181574
355.990684, 342.070660
359.127162, 344.957352
362.263639, 347.841651
365.400116, 350.723556
368.536593, 353.603068
371.673071, 356.482579
374.809548, 359.357304
377.946025, 362.229634
381.082502, 365.104359
384.218979, 367.969509
387.355457, 370.834659
390.491934, 373.699809
393.628411, 376.560171
396.764888, 379.418141
399.901365, 382.276110
403.037843, 385.131685
406.174320, 387.982474
409.310797, 390.833262
412.447274, 393.681657
415.583751, 396.525264
418.720229, 399.366478
421.856706, 402.210085
424.993183, 405.046512
428.129660, 407.880545
431.266137, 410.714578
434.402615, 413.546217
437.539092, 416.373070
440.675569, 419.199922
443.812046, 422.024380
446.948523, 424.844052
450.085001, 427.663723
453.221478, 430.481001
456.357955, 433.293492
459.494432, 436.105982
462.630909, 438.916079
465.767387, 441.723782
468.903864, 444.526699
472.040341, 447.329615
475.176818, 450.132531
478.313295, 452.928266
481.449773, 455.721608
484.586250, 458.514949
487.722727, 461.305897
490.859204, 464.092058
493.995681, 466.878219
497.132159, 469.661986
500.268636, 472.440966
503.405113, 475.219947
506.541590, 477.998927
509.678067, 480.770726
512.814545, 483.540131
515.951022, 486.309537
519.087499, 489.074155
522.223976, 491.838774
525.362542, 494.600998
528.495886, 497.358436
531.634452, 500.113480
534.767796, 502.866130
537.906362, 505.621174
541.044928, 508.366644
544.178272, 511.112113
547.316838, 513.857583
550.450182, 516.598265
553.588748, 519.336554
556.727314, 522.074842
559.860658, 524.808344
562.999224, 527.539452
566.132568, 530.268166
569.271134, 532.996880
572.409700, 535.718414
575.543044, 538.437553
578.681610, 541.159087
581.814954, 543.873439
584.953520, 546.587792
588.092086, 549.299751
591.225430, 552.009316
594.363996, 554.714094
597.497340, 557.418873
600.635906, 560.121257
603.774472, 562.818854
606.907816, 565.514058
610.046382, 568.209262
613.179726, 570.899678
616.318292, 573.587701
619.456858, 576.273331
622.590202, 578.958960
625.728768, 581.637408
628.862112, 584.315857
632.000678, 586.994305
635.139244, 589.665573
638.272588, 592.334447
641.411154, 595.005714
644.544498, 597.669801
647.683064, 600.331494
650.821630, 602.993188
653.954974, 605.652487
657.093540, 608.304606
660.226884, 610.956725
663.365450, 613.611237
666.504016, 616.253781
669.637360, 618.898719
672.775926, 621.541264
675.909270, 624.179021
679.047836, 626.816778
682.186402, 629.452141
685.319746, 632.082718
688.458312, 634.710900
691.591656, 637.336689
694.730222, 639.962478
697.868788, 642.581087
701.002132, 645.199695
704.140698, 647.818303
707.274042, 650.429730
710.412608, 653.038764
713.551174, 655.647798
716.684518, 658.252045
719.823084, 660.853898
722.956428, 663.453357
726.094994, 666.052816
729.233560, 668.645095
732.366904, 671.237373
735.505470, 673.827258
738.638814, 676.412356
741.777380, 678.995060
744.915946, 681.577764
748.049290, 684.155681
751.187856, 686.728811
754.321200, 689.304334
757.459766, 691.875070
760.598332, 694.441019
763.731676, 697.004574
766.870242, 699.568129
770.003586, 702.124504
773.142152, 704.680878
776.280718, 707.234859
779.414062, 709.786446
782.552628, 712.333246
785.685972, 714.880046
788.824538, 717.424452
791.963104, 719.961678
795.096448, 722.498903
798.235014, 725.033735
801.368358, 727.563780
804.506924, 730.093825
807.645490, 732.621476
810.778834, 735.144339
813.917400, 737.662416
817.050744, 740.180493
820.189310, 742.698569
823.327876, 745.207072
826.461220, 747.715574
829.599786, 750.226470
832.733130, 752.727791
835.871696, 755.226719
839.010262, 757.728040
842.143606, 760.224574
845.282172, 762.713928
848.415516, 765.203281
851.554082, 767.692634
854.692648, 770.172413
857.825992, 772.654586
860.964558, 775.136758
864.097902, 777.609356
867.236468, 780.081955
