# y_plus_values_1, u_plus_values_1
6.457407, 3.769769
19.372243, 6.441781
32.287035, 7.956147
45.201849, 9.068055
58.116664, 9.937832
71.031478, 10.619195
83.946292, 11.129396
96.861106, 11.463279
109.776135, 11.592817
122.690949, 11.516168
135.605763, 11.310473
148.520577, 11.039641
161.435391, 10.747045
174.350206, 10.502580
187.265020, 10.380747
200.179834, 10.340504
213.094648, 10.325555
226.009247, 10.318618
238.924061, 10.315088
251.838875, 10.313246
264.753689, 10.312325
277.668503, 10.311865
290.583318, 10.311680
303.498132, 10.311588
316.412946, 10.311527
329.327760, 10.311527
342.242574, 10.311527
355.157388, 10.311527
368.072202, 10.311527
380.987016, 10.311527
393.901831, 10.311527
406.816645, 10.311527
419.731459, 10.311527
432.646273, 10.311527
445.561087, 10.311527
458.475901, 10.311527
471.390715, 10.311527
484.305529, 10.311527
497.220343, 10.311527
510.135158, 10.311527
523.049972, 10.311527
535.964786, 10.311527
548.879600, 10.311527
561.794414, 10.311527
574.709228, 10.311527
587.624042, 10.311527
600.538856, 10.311527
613.453670, 10.311527
626.368485, 10.311527
639.283299, 10.311527
652.198113, 10.311527
665.112927, 10.311527
678.027741, 10.311527
690.942555, 10.311527
703.857369, 10.311527
716.772183, 10.311527
729.686998, 10.311527
742.601812, 10.311527
755.516626, 10.311527
768.431440, 10.311558
781.346254, 10.311650
794.261068, 10.311803
807.175882, 10.312172
820.090696, 10.312970
833.005510, 10.314505
845.920325, 10.317513
858.835139, 10.323345
871.749953, 10.335470
884.664767, 10.366166
897.579581, 10.460035
910.494395, 10.677610
923.409209, 10.966553
936.324023, 11.247208
949.238837, 11.473501
962.153652, 11.590822
975.068466, 11.516168
987.983280, 11.230111
1000.898094, 10.762608
1013.812908, 10.124741
1026.727722, 9.305183
1039.642536, 8.262372
1052.557350, 6.876807
1065.472165, 4.681078
