# y_plus_values_1, u_plus_values_1
6.358866, 6.095381
19.076620, 11.487399
31.794331, 13.421272
44.512063, 14.554899
57.229796, 15.355674
69.947528, 15.974592
82.665260, 16.479514
95.382993, 16.906724
108.100937, 17.277701
120.818669, 17.606253
133.536402, 17.901856
146.254134, 18.171149
158.971866, 18.419028
171.689599, 18.649233
184.407331, 18.866220
197.125064, 19.072858
209.842796, 19.269678
222.560317, 19.457613
235.278049, 19.637506
247.995781, 19.810167
260.713514, 19.976095
273.431246, 20.135726
286.148978, 20.289403
298.866711, 20.437470
311.584443, 20.579957
324.302175, 20.717113
337.019908, 20.849406
349.737640, 20.973190
362.455373, 21.082291
375.173105, 21.185127
387.890837, 21.281729
400.608570, 21.371972
413.326302, 21.455606
426.044034, 21.532320
438.761767, 21.601708
451.479499, 21.663335
464.197232, 21.716670
476.914964, 21.761246
489.632696, 21.796657
502.350429, 21.822561
515.068161, 21.838708
527.785893, 21.844943
540.503626, 21.841202
553.221358, 21.827518
565.939091, 21.804014
578.656823, 21.770972
591.374555, 21.728672
604.092288, 21.677456
616.810020, 21.617887
629.527752, 21.550368
642.245485, 21.475462
654.963217, 21.393511
667.680950, 21.304890
680.398682, 21.209847
693.116414, 21.108600
705.834147, 21.001120
718.551879, 20.881700
731.269611, 20.750623
743.987344, 20.614744
756.705076, 20.473598
769.422809, 20.326966
782.140541, 20.174691
794.858273, 20.016556
807.576006, 19.852249
820.293738, 19.681334
833.011470, 19.503311
845.729203, 19.317433
858.446935, 19.122952
871.164667, 18.918838
883.882400, 18.704438
896.600132, 18.478130
909.317865, 18.234958
922.035597, 17.971431
934.753329, 17.682967
947.471062, 17.363361
960.188794, 17.004105
972.906526, 16.592605
985.624259, 16.109722
998.341991, 15.523971
1011.059724, 14.778028
1023.777456, 13.750914
1036.495188, 12.107346
1049.212921, 8.234832
