# y_plus_values_1, u_plus_values_1
0.248912, 0.248879
0.547607, 0.540201
0.846302, 0.795087
1.145001, 1.049971
1.443696, 1.304857
1.742391, 1.529321
2.041085, 1.747812
2.339780, 1.966304
2.638475, 2.163711
2.937170, 2.340367
3.235864, 2.517044
3.534559, 2.687832
3.833254, 2.830363
4.131948, 2.972914
4.430643, 3.115466
4.729338, 3.237176
5.028032, 3.354927
5.326727, 3.472698
5.625422, 3.581364
5.924117, 3.681249
6.222811, 3.781153
6.521506, 3.878706
6.820201, 3.965366
7.118895, 4.052047
7.417590, 4.138727
7.716285, 4.216866
8.014980, 4.293437
8.313674, 4.370008
8.612369, 4.442500
8.911064, 4.511133
9.209758, 4.579785
9.508453, 4.647253
9.807148, 4.709494
10.105862, 4.771756
10.404507, 4.833998
10.703252, 4.891778
11.001897, 4.948774
11.300641, 5.005751
11.599286, 5.060476
11.898031, 5.113071
12.196675, 5.165666
12.495420, 5.217578
12.794065, 5.266435
13.092809, 5.315312
13.391454, 5.364169
13.690199, 5.410292
13.988844, 5.455954
14.287588, 5.501595
14.586233, 5.545789
14.884978, 5.588657
15.183623, 5.631525
15.482367, 5.673910
15.781012, 5.714326
16.079756, 5.754722
16.378401, 5.795138
16.677146, 5.833685
16.975791, 5.871951
17.274535, 5.910196
17.573180, 5.947416
17.871925, 5.983733
18.170570, 6.020049
18.469314, 6.056023
18.767959, 6.090591
19.066703, 6.125178
19.365348, 6.159746
19.664093, 6.192967
19.962738, 6.225987
20.261482, 6.259007
20.560127, 6.291264
20.858872, 6.322857
21.157517, 6.354430
21.456261, 6.385762
21.754906, 6.416069
22.053650, 6.446376
22.352295, 6.476663
22.651040, 6.505945
22.949685, 6.535066
23.248429, 6.564167
23.547074, 6.592705
23.845819, 6.620721
24.144464, 6.648757
24.443208, 6.676572
24.741853, 6.703583
25.040597, 6.730614
25.339242, 6.757625
25.637987, 6.783832
25.936632, 6.809918
26.235376, 6.836005
26.534021, 6.861629
26.832766, 6.886851
27.131411, 6.912094
27.430155, 6.937135
27.728800, 6.961574
28.027544, 6.985992
28.326189, 7.010410
28.624934, 7.034166
28.923579, 7.057840
29.222323, 7.081515
29.520968, 7.104808
29.819713, 7.127780
30.118358, 7.150751
30.417102, 7.173582
30.715747, 7.195890
31.014492, 7.218218
31.313136, 7.240526
31.611881, 7.262292
31.910526, 7.283977
32.209270, 7.305682
32.507915, 7.327046
32.806660, 7.348168
33.105305, 7.369270
33.404049, 7.390272
33.702694, 7.410832
34.001439, 7.431412
34.300083, 7.451971
34.598828, 7.472089
34.897473, 7.492126
35.196217, 7.512163
35.494862, 7.531939
35.793607, 7.551494
36.092252, 7.571049
36.390996, 7.590503
36.689641, 7.609596
36.988386, 7.628688
37.287031, 7.647781
37.585775, 7.666471
37.884420, 7.685122
38.183164, 7.703772
38.481809, 7.722182
38.780554, 7.740410
39.079199, 7.758638
39.377943, 7.776766
39.676588, 7.794593
39.975333, 7.812419
40.273978, 7.830245
40.572722, 7.847730
40.871367, 7.865195
41.170111, 7.882640
41.468756, 7.899883
41.767501, 7.916966
42.066146, 7.934049
42.364890, 7.951051
42.663535, 7.967772
42.962280, 7.984513
43.260925, 8.001255
43.559669, 8.017694
43.858314, 8.034094
44.157058, 8.050493
44.455703, 8.066732
44.754448, 8.082810
45.053093, 8.098908
45.351837, 8.114906
45.650482, 8.130702
45.949227, 8.146479
46.247872, 8.162255
46.546616, 8.177770
46.845261, 8.193266
47.144005, 8.208761
47.442650, 8.224075
47.741395, 8.239289
48.040040, 8.254503
48.338784, 8.269636
48.637429, 8.284568
48.936174, 8.299501
49.234819, 8.314433
49.533563, 8.329144
49.832208, 8.343836
50.130953, 8.358507
50.429597, 8.373037
50.728342, 8.387467
