# y_plus_values_1, u_plus_values_1
0.253179, 0.252795
0.556995, 0.548330
0.860810, 0.805000
1.164630, 1.061669
1.468446, 1.318339
1.772261, 1.540095
2.076076, 1.754993
2.379891, 1.969891
2.683707, 2.162611
2.987522, 2.333524
3.291337, 2.504437
3.595153, 2.669580
3.898968, 2.807081
4.202783, 2.944582
4.506598, 3.082063
4.810414, 3.199845
5.114229, 3.313873
5.418044, 3.427900
5.721860, 3.533412
6.025675, 3.630704
6.329490, 3.727996
6.633305, 3.823094
6.937121, 3.907978
7.240936, 3.992881
7.544751, 4.077784
7.848567, 4.154645
8.152382, 4.230045
8.456197, 4.305464
8.760012, 4.377010
9.063828, 4.444921
9.367643, 4.512812
9.671458, 4.579616
9.975274, 4.641480
10.279109, 4.703325
10.582874, 4.765170
10.886740, 4.822747
11.190504, 4.879593
11.494370, 4.936419
11.798135, 4.991071
12.102001, 5.043709
12.405766, 5.096346
12.709631, 5.148292
13.013396, 5.197333
13.317262, 5.246374
13.621027, 5.295415
13.924893, 5.341808
14.228657, 5.387767
14.532523, 5.433706
14.836288, 5.478242
15.140154, 5.521494
15.443918, 5.564746
15.747784, 5.607543
16.051549, 5.648424
16.355415, 5.689305
16.659180, 5.730186
16.963045, 5.769249
17.266810, 5.808015
17.570676, 5.846782
17.874441, 5.884561
18.178307, 5.921450
18.482071, 5.958340
18.785937, 5.994893
19.089702, 6.030084
19.393568, 6.065274
19.697332, 6.100464
20.001198, 6.134331
20.304963, 6.167999
20.608829, 6.201648
20.912594, 6.234586
21.216459, 6.266852
21.520224, 6.299118
21.824090, 6.331147
22.127855, 6.362149
22.431721, 6.393130
22.735485, 6.424132
23.039351, 6.454125
23.343116, 6.483961
23.646982, 6.513797
23.950746, 6.543059
24.254612, 6.571828
24.558377, 6.600577
24.862243, 6.629148
25.166008, 6.656909
25.469873, 6.684690
25.773638, 6.712451
26.077504, 6.739421
26.381269, 6.766274
26.685135, 6.793126
26.988899, 6.819523
27.292765, 6.845526
27.596530, 6.871528
27.900396, 6.897353
28.204160, 6.922565
28.508026, 6.947757
28.811791, 6.972969
29.115657, 6.997530
29.419422, 7.021991
29.723287, 7.046452
30.027052, 7.070518
30.330918, 7.094288
30.634683, 7.118058
30.938549, 7.141669
31.242313, 7.164787
31.546179, 7.187905
31.849944, 7.211023
32.153810, 7.233587
32.457574, 7.256092
32.761440, 7.278578
33.065205, 7.300767
33.369071, 7.322699
33.672836, 7.344611
33.976701, 7.366425
34.280466, 7.387784
34.584332, 7.409163
34.888097, 7.430542
35.191963, 7.451447
35.495727, 7.472292
35.799593, 7.493157
36.103358, 7.513746
36.407224, 7.534117
36.710988, 7.554488
37.014854, 7.574741
37.318619, 7.594638
37.622485, 7.614555
37.926250, 7.634452
38.230115, 7.653954
38.533880, 7.673416
38.837746, 7.692878
39.141511, 7.712104
39.445377, 7.731151
39.749141, 7.750179
40.053007, 7.769127
40.356772, 7.787779
40.660638, 7.806412
40.964402, 7.825044
41.268268, 7.843361
41.572033, 7.861618
41.875899, 7.879875
42.179664, 7.897934
42.483529, 7.915816
42.787294, 7.933717
43.091160, 7.951540
43.394925, 7.969085
43.698791, 7.986631
44.002555, 8.004177
44.306421, 8.021426
44.610186, 8.038656
44.914052, 8.055866
