# y_plus_values_1, u_plus_values_1
0.251127, 0.250847
0.552480, 0.551806
0.853833, 0.852495
1.155191, 1.153182
1.456544, 1.453869
1.757897, 1.754142
2.059250, 2.054327
2.360603, 2.354524
2.661956, 2.653884
2.963309, 2.952447
3.264662, 3.251011
3.566015, 3.548658
3.867368, 3.841843
4.168721, 4.135048
4.470074, 4.428233
4.771427, 4.710720
5.072779, 4.991156
5.374132, 5.271612
5.675485, 5.541073
5.976838, 5.799935
6.278191, 6.058798
6.579544, 6.312780
6.880897, 6.544113
7.182250, 6.775445
7.483603, 7.006778
7.784956, 7.213848
8.086309, 7.416496
8.387662, 7.619144
8.689015, 7.808266
8.990368, 7.984599
9.291721, 8.160933
9.593074, 8.333162
9.894426, 8.486906
10.195800, 8.640650
10.497102, 8.794394
10.798505, 8.932122
11.099808, 9.067061
11.401211, 9.201980
11.702514, 9.328852
12.003917, 9.448233
12.305220, 9.567635
12.606623, 9.684626
12.907926, 9.791199
13.209329, 9.897752
13.510632, 10.004325
13.812035, 10.101754
14.113338, 10.197670
14.414741, 10.293566
14.716043, 10.384780
15.017447, 10.471751
15.318749, 10.558703
15.620152, 10.644200
15.921455, 10.723602
16.222858, 10.803004
16.524161, 10.882406
16.825564, 10.956250
17.126867, 11.029197
17.428270, 11.102145
17.729573, 11.172144
18.030976, 11.239534
18.332279, 11.306904
18.633682, 11.373338
18.934985, 11.435907
19.236388, 11.498457
19.537690, 11.561026
19.839094, 11.619930
20.140396, 11.678276
20.441799, 11.736622
20.743102, 11.792976
21.044505, 11.847597
21.345808, 11.902218
21.647211, 11.956182
21.948514, 12.007516
22.249917, 12.058851
22.551220, 12.110185
22.852623, 12.158969
23.153926, 12.207355
23.455329, 12.255742
23.756632, 12.302733
24.058035, 12.348490
24.359337, 12.394266
24.660741, 12.439545
24.962043, 12.482951
25.263446, 12.526337
25.564749, 12.569743
25.866152, 12.611257
26.167455, 12.652511
26.468858, 12.693766
26.770161, 12.733965
27.071564, 12.773267
27.372867, 12.812570
27.674270, 12.851494
27.975573, 12.889023
28.276976, 12.926553
28.578279, 12.964083
28.879682, 13.000178
29.180984, 13.036074
29.482388, 13.071970
29.783690, 13.107050
30.085093, 13.141472
30.386396, 13.175874
30.687799, 13.209977
30.989102, 13.243005
31.290505, 13.276032
31.591808, 13.309060
31.893211, 13.340952
32.194514, 13.372705
32.495917, 13.404458
32.797220, 13.435573
33.098623, 13.466150
33.399926, 13.496728
33.701329, 13.527046
34.002631, 13.556528
34.304035, 13.586010
34.605337, 13.615472
34.906740, 13.644057
35.208043, 13.672503
35.509446, 13.700969
35.810749, 13.728897
36.112152, 13.756407
36.413455, 13.783897
36.714858, 13.811208
37.016161, 13.837821
37.317564, 13.864434
37.618867, 13.891048
37.920270, 13.916904
38.221573, 13.942681
38.522976, 13.968457
38.824278, 13.993796
39.125682, 14.018776
39.426984, 14.043775
39.728387, 14.068596
40.029690, 14.092859
40.331093, 14.117122
40.632396, 14.141364
40.933799, 14.164990
41.235102, 14.188555
41.536505, 14.212121
41.837808, 14.235288
42.139211, 14.258196
42.440514, 14.281084
42.741917, 14.303853
43.043220, 14.326124
43.344623, 14.348395
43.645925, 14.370685
43.947329, 14.392418
44.248631, 14.414111
44.550034, 14.435804
44.851337, 14.457179
45.152740, 14.478314
45.454043, 14.499449
45.755446, 14.520465
46.056749, 14.541062
46.358152, 14.561660
46.659455, 14.582277
46.960858, 14.602417
47.262161, 14.622516
47.563564, 14.642615
47.864867, 14.662456
48.166270, 14.682077
48.467572, 14.701699
48.768976, 14.721201
49.070278, 14.740364
49.371682, 14.759527
49.672984, 14.778690
49.974387, 14.797455
50.275690, 14.816200
50.577093, 14.834925
50.878396, 14.853411
51.179799, 14.871717
51.481102, 14.890044
51.782505, 14.908251
52.083808, 14.926179
52.385211, 14.944087
52.686514, 14.962015
52.987917, 14.979585
53.289220, 14.997135
53.590623, 15.014664
53.891925, 15.031995
54.193329, 15.049166
54.494631, 15.066337
54.796034, 15.083409
55.097337, 15.100241
55.398740, 15.117074
55.700043, 15.133887
56.001446, 15.150420
56.302749, 15.166914
56.604152, 15.183408
56.905455, 15.199703
57.206858, 15.215878
57.508161, 15.232033
57.809564, 15.248129
58.110867, 15.263985
58.412270, 15.279862
58.713572, 15.295718
59.014976, 15.311315
59.316278, 15.326873
59.617681, 15.342451
59.918984, 15.357829
60.220387, 15.373108
60.521690, 15.388387
60.823093, 15.403606
61.124396, 15.418605
61.425799, 15.433605
61.727102, 15.448625
62.028505, 15.463366
62.329808, 15.478107
62.631211, 15.492848
62.932514, 15.507429
63.233917, 15.521911
63.535219, 15.536393
63.836623, 15.550816
64.137925, 15.565059
64.439328, 15.579301
64.740631, 15.593544
65.042034, 15.607548
65.343337, 15.621552
65.644740, 15.635536
65.946043, 15.649400
66.247446, 15.663165
66.548749, 15.676950
66.850152, 15.690655
67.151455, 15.704201
67.452858, 15.717747
67.754161, 15.731292
68.055564, 15.744639
68.356866, 15.757965
68.658270, 15.771312
68.959572, 15.784519
69.260975, 15.797626
69.562278, 15.810754
69.863681, 15.823821
70.164984, 15.836750
70.466387, 15.849658
70.767690, 15.862586
71.069093, 15.875335
71.370396, 15.888064
71.671799, 15.900793
71.973102, 15.913402
72.274505, 15.925932
72.575808, 15.938482
72.877211, 15.950952
73.178513, 15.963322
73.479917, 15.975673
73.781219, 15.988043
74.082622, 16.000214
74.383925, 16.012386
74.685328, 16.024557
74.986631, 16.036629
75.288034, 16.048640
75.589337, 16.060652
75.890740, 16.072604
76.192043, 16.084437
76.493446, 16.096270
76.794749, 16.108102
77.096152, 16.119775
77.397455, 16.131449
77.698858, 16.143142
78.000160, 16.154715
78.301564, 16.166229
78.602866, 16.177743
78.904269, 16.189217
79.205572, 16.200571
79.506975, 16.211926
79.808278, 16.223300
80.109681, 16.234515
80.410984, 16.245711
80.712387, 16.256926
81.013690, 16.268041
81.315093, 16.279097
81.616396, 16.290172
81.917799, 16.301188
82.219102, 16.312104
82.520505, 16.323041
82.821807, 16.333957
83.123211, 16.344754
83.424513, 16.355530
83.725916, 16.366327
84.027219, 16.377024
84.328622, 16.387662
84.629925, 16.398319
84.931328, 16.408916
85.232631, 16.419434
85.534034, 16.429952
85.835337, 16.440470
86.136740, 16.450868
86.438043, 16.461267
86.739446, 16.471645
87.040749, 16.481964
87.342152, 16.492223
87.643454, 16.502501
87.944858, 16.512720
88.246160, 16.522860
88.547564, 16.532999
88.848866, 16.543139
89.150269, 16.553178
89.451572, 16.563198
89.752975, 16.573218
90.054278, 16.583178
90.355681, 16.593078
90.656984, 16.602999
90.958387, 16.612859
91.259690, 16.622660
91.561093, 16.632441
91.862396, 16.642241
92.163799, 16.651923
92.465102, 16.661624
92.766505, 16.671305
93.067807, 16.680926
93.369211, 16.690488
93.670513, 16.700070
93.971916, 16.709611
94.273219, 16.719093
94.574622, 16.728555
94.875925, 16.738037
95.177328, 16.747400
95.478631, 16.756762
95.780034, 16.766145
96.081337, 16.775428
96.382740, 16.784690
96.684043, 16.793953
96.985446, 16.803196
97.286749, 16.812360
97.588152, 16.821543
97.889454, 16.830706
98.190858, 16.839770
98.492160, 16.848853
98.793563, 16.857917
99.094866, 16.866921
99.396269, 16.875905
99.697572, 16.884869
99.998975, 16.893813
100.300278, 16.902698
100.601581, 16.911582
100.902783, 16.920466
101.203985, 16.929271
101.506192, 16.938056
101.807394, 16.946841
102.108596, 16.955566
102.409799, 16.964271
102.711001, 16.972976
103.012203, 16.981661
103.313406, 16.990267
103.615612, 16.998892
103.916814, 17.007498
104.218017, 17.016043
