# y_plus_values_1, u_plus_values_1
0.250228, 0.250183
0.550501, 0.550344
0.850775, 0.850202
1.151053, 1.150061
1.451327, 1.449920
1.751600, 1.749313
2.051873, 2.048618
2.352147, 2.347914
2.652420, 2.646252
2.952694, 2.943649
3.252967, 3.241067
3.553241, 3.537405
3.853514, 3.828645
4.153788, 4.119886
4.454061, 4.411106
4.754334, 4.690411
5.054608, 4.967457
5.354881, 5.244503
5.655155, 5.509874
5.955428, 5.763990
6.255702, 6.018085
6.555975, 6.267243
6.856248, 6.493430
7.156522, 6.719617
7.456795, 6.945804
7.757069, 7.148320
8.057342, 7.346519
8.357616, 7.544717
8.657889, 7.730041
8.958163, 7.903190
9.258436, 8.076359
9.558709, 8.245689
9.858983, 8.398006
10.159276, 8.550304
10.459500, 8.702621
10.759823, 8.840444
11.060047, 8.975729
11.360370, 9.111033
11.660593, 9.238920
11.960917, 9.359971
12.261140, 9.481001
12.561464, 9.599772
12.861687, 9.708687
13.162011, 9.817622
13.462234, 9.926538
13.762558, 10.026637
14.062781, 10.125216
14.363104, 10.223795
14.663328, 10.317757
14.963651, 10.407500
15.263875, 10.497243
15.564198, 10.585527
15.864422, 10.667653
16.164745, 10.749759
16.464968, 10.831885
16.765292, 10.908354
17.065515, 10.983883
17.365839, 11.059432
17.666062, 11.131942
17.966386, 11.201753
18.266609, 11.271565
18.566933, 11.340376
18.867156, 11.405170
19.167479, 11.469963
19.467703, 11.534756
19.768026, 11.595731
20.068250, 11.656126
20.368573, 11.716502
20.668797, 11.774798
20.969120, 11.831274
21.269343, 11.887751
21.569667, 11.943528
21.869890, 11.996526
22.170214, 12.049545
22.470437, 12.102563
22.770761, 12.152862
23.070984, 12.202762
23.371308, 12.252681
23.671531, 12.301081
23.971854, 12.348222
24.272078, 12.395362
24.572401, 12.441963
24.872625, 12.486625
25.172948, 12.531266
25.473172, 12.575928
25.773495, 12.618651
26.073718, 12.661093
26.374042, 12.703556
26.674265, 12.744919
26.974589, 12.785382
27.274812, 12.825845
27.575136, 12.865929
27.875359, 12.904573
28.175683, 12.943217
28.475906, 12.981881
28.776229, 13.019066
29.076453, 13.056051
29.376776, 13.093055
29.677000, 13.129201
29.977323, 13.164666
30.277547, 13.200131
30.577870, 13.235277
30.878093, 13.269323
31.178417, 13.303389
31.478640, 13.337435
31.778964, 13.370321
32.079187, 13.403068
32.379511, 13.435815
32.679734, 13.467881
32.980058, 13.499408
33.280281, 13.530955
33.580604, 13.562223
33.880828, 13.592650
34.181151, 13.623057
34.481375, 13.653465
34.781698, 13.682933
