# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-3.70389476e-03 2.69499961e-28 0.00000000e+00)	(-3.70389476e-03 2.69499961e-28 0.00000000e+00)
0.5             	bot_wall	(-3.70388880e-03 1.03417319e-19 0.00000000e+00)	(-3.70388880e-03 1.03417319e-19 0.00000000e+00)
1               	top_wall	(-3.23015541e-03 -1.88303462e-25 0.00000000e+00)	(-3.23015541e-03 -1.88303462e-25 0.00000000e+00)
1               	bot_wall	(-3.23015069e-03 1.50653175e-19 0.00000000e+00)	(-3.23015069e-03 1.50653175e-19 0.00000000e+00)
1.5             	top_wall	(-2.98553767e-03 -2.91010628e-24 0.00000000e+00)	(-2.98553767e-03 -2.91010628e-24 0.00000000e+00)
1.5             	bot_wall	(-2.98553423e-03 3.09594672e-19 0.00000000e+00)	(-2.98553423e-03 3.09594672e-19 0.00000000e+00)
2               	top_wall	(-2.82980131e-03 -3.29326470e-24 0.00000000e+00)	(-2.82980131e-03 -3.29326470e-24 0.00000000e+00)
2               	bot_wall	(-2.82979904e-03 1.79314253e-19 0.00000000e+00)	(-2.82979904e-03 1.79314253e-19 0.00000000e+00)
2.5             	top_wall	(-2.72159189e-03 3.17433177e-23 0.00000000e+00)	(-2.72159189e-03 3.17433177e-23 0.00000000e+00)
2.5             	bot_wall	(-2.72159033e-03 2.04669737e-19 0.00000000e+00)	(-2.72159033e-03 2.04669737e-19 0.00000000e+00)
3               	top_wall	(-2.64308552e-03 1.48267115e-22 0.00000000e+00)	(-2.64308552e-03 1.48267115e-22 0.00000000e+00)
3               	bot_wall	(-2.64308438e-03 2.40717301e-19 0.00000000e+00)	(-2.64308438e-03 2.40717301e-19 0.00000000e+00)
3.5             	top_wall	(-2.58495708e-03 3.67535707e-22 0.00000000e+00)	(-2.58495708e-03 3.67535707e-22 0.00000000e+00)
3.5             	bot_wall	(-2.58495627e-03 1.43360012e-19 0.00000000e+00)	(-2.58495627e-03 1.43360012e-19 0.00000000e+00)
4               	top_wall	(-2.54167856e-03 6.77196245e-22 0.00000000e+00)	(-2.54167856e-03 6.77196245e-22 0.00000000e+00)
4               	bot_wall	(-2.54167794e-03 -7.16895836e-20 0.00000000e+00)	(-2.54167794e-03 -7.16895836e-20 0.00000000e+00)
4.5             	top_wall	(-2.50965500e-03 6.95854235e-22 0.00000000e+00)	(-2.50965500e-03 6.95854235e-22 0.00000000e+00)
4.5             	bot_wall	(-2.50965450e-03 5.47403607e-20 0.00000000e+00)	(-2.50965450e-03 5.47403607e-20 0.00000000e+00)
5               	top_wall	(-2.48637313e-03 3.31178680e-22 0.00000000e+00)	(-2.48637313e-03 3.31178680e-22 0.00000000e+00)
5               	bot_wall	(-2.48637275e-03 1.34359747e-19 0.00000000e+00)	(-2.48637275e-03 1.34359747e-19 0.00000000e+00)
5.5             	top_wall	(-2.46997361e-03 5.90795478e-22 0.00000000e+00)	(-2.46997361e-03 5.90795478e-22 0.00000000e+00)
5.5             	bot_wall	(-2.46997332e-03 1.52971597e-19 0.00000000e+00)	(-2.46997332e-03 1.52971597e-19 0.00000000e+00)
6               	top_wall	(-2.45902068e-03 3.81310990e-22 0.00000000e+00)	(-2.45902068e-03 3.81310990e-22 0.00000000e+00)
6               	bot_wall	(-2.45902049e-03 2.45836758e-19 0.00000000e+00)	(-2.45902049e-03 2.45836758e-19 0.00000000e+00)
6.5             	top_wall	(-2.45237153e-03 7.34018646e-22 0.00000000e+00)	(-2.45237153e-03 7.34018646e-22 0.00000000e+00)
6.5             	bot_wall	(-2.45237144e-03 1.68073474e-19 0.00000000e+00)	(-2.45237144e-03 1.68073474e-19 0.00000000e+00)
7               	top_wall	(-2.44909881e-03 6.87424155e-22 0.00000000e+00)	(-2.44909881e-03 6.87424155e-22 0.00000000e+00)
7               	bot_wall	(-2.44909882e-03 5.74814612e-20 0.00000000e+00)	(-2.44909882e-03 5.74814612e-20 0.00000000e+00)
7.5             	top_wall	(-2.44844201e-03 6.78167175e-22 0.00000000e+00)	(-2.44844201e-03 6.78167175e-22 0.00000000e+00)
7.5             	bot_wall	(-2.44844210e-03 1.30981132e-19 0.00000000e+00)	(-2.44844210e-03 1.30981132e-19 0.00000000e+00)
8               	top_wall	(-2.44977444e-03 6.80913372e-22 0.00000000e+00)	(-2.44977444e-03 6.80913372e-22 0.00000000e+00)
8               	bot_wall	(-2.44977460e-03 2.05410745e-19 0.00000000e+00)	(-2.44977460e-03 2.05410745e-19 0.00000000e+00)
8.5             	top_wall	(-2.45258103e-03 6.80201665e-22 0.00000000e+00)	(-2.45258103e-03 6.80201665e-22 0.00000000e+00)
8.5             	bot_wall	(-2.45258125e-03 1.61284326e-19 0.00000000e+00)	(-2.45258125e-03 1.61284326e-19 0.00000000e+00)
9               	top_wall	(-2.45644095e-03 6.70047101e-22 0.00000000e+00)	(-2.45644095e-03 6.70047101e-22 0.00000000e+00)
9               	bot_wall	(-2.45644122e-03 2.40816922e-19 0.00000000e+00)	(-2.45644122e-03 2.40816922e-19 0.00000000e+00)
