# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-4.26340589e-03 -6.85397121e-28 0.00000000e+00)	(-4.26340589e-03 -6.85397121e-28 0.00000000e+00)
0.5             	bot_wall	(-4.26338036e-03 -7.71826065e-20 0.00000000e+00)	(-4.26338036e-03 -7.71826065e-20 0.00000000e+00)
1               	top_wall	(-3.55719831e-03 -2.59885193e-26 0.00000000e+00)	(-3.55719831e-03 -2.59885193e-26 0.00000000e+00)
1               	bot_wall	(-3.55718331e-03 -1.20287315e-19 0.00000000e+00)	(-3.55718331e-03 -1.20287315e-19 0.00000000e+00)
1.5             	top_wall	(-3.22039817e-03 -8.92340994e-26 0.00000000e+00)	(-3.22039817e-03 -8.92340994e-26 0.00000000e+00)
1.5             	bot_wall	(-3.22038731e-03 -2.89021000e-20 0.00000000e+00)	(-3.22038731e-03 -2.89021000e-20 0.00000000e+00)
2               	top_wall	(-3.01594716e-03 3.05521190e-24 0.00000000e+00)	(-3.01594716e-03 3.05521190e-24 0.00000000e+00)
2               	bot_wall	(-3.01593832e-03 -3.08263730e-20 0.00000000e+00)	(-3.01593832e-03 -3.08263730e-20 0.00000000e+00)
2.5             	top_wall	(-2.87757370e-03 1.87549239e-23 0.00000000e+00)	(-2.87757370e-03 1.87549239e-23 0.00000000e+00)
2.5             	bot_wall	(-2.87756624e-03 5.63512819e-20 0.00000000e+00)	(-2.87756624e-03 5.63512819e-20 0.00000000e+00)
3               	top_wall	(-2.77821614e-03 5.13693298e-23 0.00000000e+00)	(-2.77821614e-03 5.13693298e-23 0.00000000e+00)
3               	bot_wall	(-2.77820976e-03 1.15243437e-19 0.00000000e+00)	(-2.77820976e-03 1.15243437e-19 0.00000000e+00)
3.5             	top_wall	(-2.70436525e-03 9.69083400e-23 0.00000000e+00)	(-2.70436525e-03 9.69083400e-23 0.00000000e+00)
3.5             	bot_wall	(-2.70435978e-03 -9.35488911e-21 0.00000000e+00)	(-2.70435978e-03 -9.35488911e-21 0.00000000e+00)
4               	top_wall	(-2.64835583e-03 1.52515850e-22 0.00000000e+00)	(-2.64835583e-03 1.52515850e-22 0.00000000e+00)
4               	bot_wall	(-2.64835116e-03 -3.46462559e-20 0.00000000e+00)	(-2.64835116e-03 -3.46462559e-20 0.00000000e+00)
4.5             	top_wall	(-2.60542299e-03 2.14559933e-22 0.00000000e+00)	(-2.60542299e-03 2.14559933e-22 0.00000000e+00)
4.5             	bot_wall	(-2.60541902e-03 1.85718926e-20 0.00000000e+00)	(-2.60541902e-03 1.85718926e-20 0.00000000e+00)
5               	top_wall	(-2.57239273e-03 2.74972034e-22 0.00000000e+00)	(-2.57239273e-03 2.74972034e-22 0.00000000e+00)
5               	bot_wall	(-2.57238937e-03 -3.22572997e-21 0.00000000e+00)	(-2.57238937e-03 -3.22572997e-21 0.00000000e+00)
5.5             	top_wall	(-2.54703395e-03 3.26182822e-22 0.00000000e+00)	(-2.54703395e-03 3.26182822e-22 0.00000000e+00)
5.5             	bot_wall	(-2.54703108e-03 5.20632794e-21 0.00000000e+00)	(-2.54703108e-03 5.20632794e-21 0.00000000e+00)
6               	top_wall	(-2.52771342e-03 3.63456570e-22 0.00000000e+00)	(-2.52771342e-03 3.63456570e-22 0.00000000e+00)
6               	bot_wall	(-2.52771099e-03 1.00106379e-19 0.00000000e+00)	(-2.52771099e-03 1.00106379e-19 0.00000000e+00)
6.5             	top_wall	(-2.51319822e-03 3.76960712e-22 0.00000000e+00)	(-2.51319822e-03 3.76960712e-22 0.00000000e+00)
6.5             	bot_wall	(-2.51319617e-03 3.13541098e-20 0.00000000e+00)	(-2.51319617e-03 3.13541098e-20 0.00000000e+00)
7               	top_wall	(-2.50253455e-03 3.57723272e-22 0.00000000e+00)	(-2.50253455e-03 3.57723272e-22 0.00000000e+00)
7               	bot_wall	(-2.50253282e-03 -7.95245664e-20 0.00000000e+00)	(-2.50253282e-03 -7.95245664e-20 0.00000000e+00)
7.5             	top_wall	(-2.49497110e-03 3.04965237e-22 0.00000000e+00)	(-2.49497110e-03 3.04965237e-22 0.00000000e+00)
7.5             	bot_wall	(-2.49496965e-03 7.13616303e-20 0.00000000e+00)	(-2.49496965e-03 7.13616303e-20 0.00000000e+00)
8               	top_wall	(-2.48990840e-03 2.23423250e-22 0.00000000e+00)	(-2.48990840e-03 2.23423250e-22 0.00000000e+00)
8               	bot_wall	(-2.48990720e-03 1.28920409e-19 0.00000000e+00)	(-2.48990720e-03 1.28920409e-19 0.00000000e+00)
8.5             	top_wall	(-2.48686371e-03 1.25833897e-22 0.00000000e+00)	(-2.48686371e-03 1.25833897e-22 0.00000000e+00)
8.5             	bot_wall	(-2.48686272e-03 1.95924029e-19 0.00000000e+00)	(-2.48686272e-03 1.95924029e-19 0.00000000e+00)
9               	top_wall	(-2.48544531e-03 5.71797158e-23 0.00000000e+00)	(-2.48544531e-03 5.71797158e-23 0.00000000e+00)
9               	bot_wall	(-2.48544451e-03 1.60386595e-19 0.00000000e+00)	(-2.48544451e-03 1.60386595e-19 0.00000000e+00)
9.5             	top_wall	(-2.48533381e-03 8.47704019e-23 0.00000000e+00)	(-2.48533381e-03 8.47704019e-23 0.00000000e+00)
9.5             	bot_wall	(-2.48533317e-03 4.71358942e-20 0.00000000e+00)	(-2.48533317e-03 4.71358942e-20 0.00000000e+00)
