# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-1.21829875e-01 3.50875146e-24 0.00000000e+00)	(-1.21829875e-01 3.50875146e-24 0.00000000e+00)
0.5             	bot_wall	(-1.21829886e-01 1.74020302e-18 0.00000000e+00)	(-1.21829886e-01 1.74020302e-18 0.00000000e+00)
1               	top_wall	(-1.12195393e-01 9.79571990e-23 0.00000000e+00)	(-1.12195393e-01 9.79571990e-23 0.00000000e+00)
1               	bot_wall	(-1.12195447e-01 1.66990428e-18 0.00000000e+00)	(-1.12195447e-01 1.66990428e-18 0.00000000e+00)
1.5             	top_wall	(-1.06960521e-01 2.91010074e-22 0.00000000e+00)	(-1.06960521e-01 2.91010074e-22 0.00000000e+00)
1.5             	bot_wall	(-1.06960566e-01 1.48420642e-18 0.00000000e+00)	(-1.06960566e-01 1.48420642e-18 0.00000000e+00)
2               	top_wall	(-1.03429753e-01 4.54524871e-22 0.00000000e+00)	(-1.03429753e-01 4.54524871e-22 0.00000000e+00)
2               	bot_wall	(-1.03429782e-01 1.35784051e-18 0.00000000e+00)	(-1.03429782e-01 1.35784051e-18 0.00000000e+00)
2.5             	top_wall	(-1.01124857e-01 1.95998271e-22 0.00000000e+00)	(-1.01124857e-01 1.95998271e-22 0.00000000e+00)
2.5             	bot_wall	(-1.01124874e-01 1.48540037e-18 0.00000000e+00)	(-1.01124874e-01 1.48540037e-18 0.00000000e+00)
3               	top_wall	(-9.96981038e-02 4.43497493e-22 0.00000000e+00)	(-9.96981038e-02 4.43497493e-22 0.00000000e+00)
3               	bot_wall	(-9.96981113e-02 1.59392683e-18 0.00000000e+00)	(-9.96981113e-02 1.59392683e-18 0.00000000e+00)
3.5             	top_wall	(-9.90873749e-02 2.29382298e-22 0.00000000e+00)	(-9.90873749e-02 2.29382298e-22 0.00000000e+00)
3.5             	bot_wall	(-9.90873760e-02 1.81746135e-18 0.00000000e+00)	(-9.90873760e-02 1.81746135e-18 0.00000000e+00)
4               	top_wall	(-9.92082000e-02 2.59778856e-22 0.00000000e+00)	(-9.92082000e-02 2.59778856e-22 0.00000000e+00)
4               	bot_wall	(-9.92081967e-02 1.73184228e-18 0.00000000e+00)	(-9.92081967e-02 1.73184228e-18 0.00000000e+00)
4.5             	top_wall	(-9.98229079e-02 2.74140849e-22 0.00000000e+00)	(-9.98229079e-02 2.74140849e-22 0.00000000e+00)
4.5             	bot_wall	(-9.98229020e-02 1.80493966e-18 0.00000000e+00)	(-9.98229020e-02 1.80493966e-18 0.00000000e+00)
5               	top_wall	(-1.00720880e-01 2.58750372e-22 0.00000000e+00)	(-1.00720880e-01 2.58750372e-22 0.00000000e+00)
5               	bot_wall	(-1.00720873e-01 1.65758516e-18 0.00000000e+00)	(-1.00720873e-01 1.65758516e-18 0.00000000e+00)
5.5             	top_wall	(-1.01737043e-01 8.34360427e-23 0.00000000e+00)	(-1.01737043e-01 8.34360427e-23 0.00000000e+00)
5.5             	bot_wall	(-1.01737036e-01 1.70249330e-18 0.00000000e+00)	(-1.01737036e-01 1.70249330e-18 0.00000000e+00)
6               	top_wall	(-1.02740817e-01 8.88687385e-23 0.00000000e+00)	(-1.02740817e-01 8.88687385e-23 0.00000000e+00)
6               	bot_wall	(-1.02740811e-01 1.65802148e-18 0.00000000e+00)	(-1.02740811e-01 1.65802148e-18 0.00000000e+00)
6.5             	top_wall	(-1.03647779e-01 2.55624499e-22 0.00000000e+00)	(-1.03647779e-01 2.55624499e-22 0.00000000e+00)
6.5             	bot_wall	(-1.03647774e-01 1.83816127e-18 0.00000000e+00)	(-1.03647774e-01 1.83816127e-18 0.00000000e+00)
7               	top_wall	(-1.04417952e-01 4.70169244e-23 0.00000000e+00)	(-1.04417952e-01 4.70169244e-23 0.00000000e+00)
7               	bot_wall	(-1.04417947e-01 1.71909567e-18 0.00000000e+00)	(-1.04417947e-01 1.71909567e-18 0.00000000e+00)
7.5             	top_wall	(-1.05042720e-01 3.54407464e-22 0.00000000e+00)	(-1.05042720e-01 3.54407464e-22 0.00000000e+00)
7.5             	bot_wall	(-1.05042716e-01 1.84228714e-18 0.00000000e+00)	(-1.05042716e-01 1.84228714e-18 0.00000000e+00)
8               	top_wall	(-1.05531224e-01 4.26216693e-22 0.00000000e+00)	(-1.05531224e-01 4.26216693e-22 0.00000000e+00)
8               	bot_wall	(-1.05531220e-01 1.80072390e-18 0.00000000e+00)	(-1.05531220e-01 1.80072390e-18 0.00000000e+00)
