# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-1.20420601e-01 3.10586933e-24 0.00000000e+00)	(-1.20420601e-01 3.10586933e-24 0.00000000e+00)
0.5             	bot_wall	(-1.20420605e-01 1.64011599e-18 0.00000000e+00)	(-1.20420605e-01 1.64011599e-18 0.00000000e+00)
1               	top_wall	(-1.10866684e-01 4.29623590e-24 0.00000000e+00)	(-1.10866684e-01 4.29623590e-24 0.00000000e+00)
1               	bot_wall	(-1.10866777e-01 1.54069002e-18 0.00000000e+00)	(-1.10866777e-01 1.54069002e-18 0.00000000e+00)
1.5             	top_wall	(-1.05217632e-01 -6.84890562e-23 0.00000000e+00)	(-1.05217632e-01 -6.84890562e-23 0.00000000e+00)
1.5             	bot_wall	(-1.05217729e-01 1.45753122e-18 0.00000000e+00)	(-1.05217729e-01 1.45753122e-18 0.00000000e+00)
2               	top_wall	(-1.01754113e-01 -3.16472167e-23 0.00000000e+00)	(-1.01754113e-01 -3.16472167e-23 0.00000000e+00)
2               	bot_wall	(-1.01754201e-01 1.65061699e-18 0.00000000e+00)	(-1.01754201e-01 1.65061699e-18 0.00000000e+00)
2.5             	top_wall	(-9.95175300e-02 1.92104649e-22 0.00000000e+00)	(-9.95175300e-02 1.92104649e-22 0.00000000e+00)
2.5             	bot_wall	(-9.95176087e-02 1.54340502e-18 0.00000000e+00)	(-9.95176087e-02 1.54340502e-18 0.00000000e+00)
3               	top_wall	(-9.85352640e-02 1.35654026e-22 0.00000000e+00)	(-9.85352640e-02 1.35654026e-22 0.00000000e+00)
3               	bot_wall	(-9.85353325e-02 1.36383399e-18 0.00000000e+00)	(-9.85353325e-02 1.36383399e-18 0.00000000e+00)
3.5             	top_wall	(-9.85916410e-02 -2.43342921e-22 0.00000000e+00)	(-9.85916410e-02 -2.43342921e-22 0.00000000e+00)
3.5             	bot_wall	(-9.85916985e-02 1.48183492e-18 0.00000000e+00)	(-9.85916985e-02 1.48183492e-18 0.00000000e+00)
4               	top_wall	(-9.92624134e-02 -4.04903409e-22 0.00000000e+00)	(-9.92624134e-02 -4.04903409e-22 0.00000000e+00)
4               	bot_wall	(-9.92624610e-02 1.49556728e-18 0.00000000e+00)	(-9.92624610e-02 1.49556728e-18 0.00000000e+00)
4.5             	top_wall	(-1.00318336e-01 -4.52676706e-22 0.00000000e+00)	(-1.00318336e-01 -4.52676706e-22 0.00000000e+00)
4.5             	bot_wall	(-1.00318376e-01 1.42328845e-18 0.00000000e+00)	(-1.00318376e-01 1.42328845e-18 0.00000000e+00)
5               	top_wall	(-1.01548817e-01 -2.27675266e-22 0.00000000e+00)	(-1.01548817e-01 -2.27675266e-22 0.00000000e+00)
5               	bot_wall	(-1.01548851e-01 1.44300273e-18 0.00000000e+00)	(-1.01548851e-01 1.44300273e-18 0.00000000e+00)
5.5             	top_wall	(-1.02780649e-01 -3.91065264e-22 0.00000000e+00)	(-1.02780649e-01 -3.91065264e-22 0.00000000e+00)
5.5             	bot_wall	(-1.02780678e-01 1.49549376e-18 0.00000000e+00)	(-1.02780678e-01 1.49549376e-18 0.00000000e+00)
6               	top_wall	(-1.03903181e-01 -3.27443470e-22 0.00000000e+00)	(-1.03903181e-01 -3.27443470e-22 0.00000000e+00)
6               	bot_wall	(-1.03903205e-01 1.67162415e-18 0.00000000e+00)	(-1.03903205e-01 1.67162415e-18 0.00000000e+00)
6.5             	top_wall	(-1.04862702e-01 4.77660066e-22 0.00000000e+00)	(-1.04862702e-01 4.77660066e-22 0.00000000e+00)
6.5             	bot_wall	(-1.04862723e-01 1.27956264e-18 0.00000000e+00)	(-1.04862723e-01 1.27956264e-18 0.00000000e+00)
7               	top_wall	(-1.05644468e-01 -1.00306838e-22 0.00000000e+00)	(-1.05644468e-01 -1.00306838e-22 0.00000000e+00)
7               	bot_wall	(-1.05644485e-01 1.57521807e-18 0.00000000e+00)	(-1.05644485e-01 1.57521807e-18 0.00000000e+00)
7.5             	top_wall	(-1.06256142e-01 -5.11155944e-22 0.00000000e+00)	(-1.06256142e-01 -5.11155944e-22 0.00000000e+00)
7.5             	bot_wall	(-1.06256157e-01 1.57053599e-18 0.00000000e+00)	(-1.06256157e-01 1.57053599e-18 0.00000000e+00)
