# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-1.34178170e-01 4.85453924e-24 0.00000000e+00)	(-1.34178170e-01 4.85453924e-24 0.00000000e+00)
0.5             	bot_wall	(-1.34178195e-01 1.59805166e-18 0.00000000e+00)	(-1.34178195e-01 1.59805166e-18 0.00000000e+00)
1               	top_wall	(-1.22910941e-01 1.30677379e-22 0.00000000e+00)	(-1.22910941e-01 1.30677379e-22 0.00000000e+00)
1               	bot_wall	(-1.22910961e-01 9.79512642e-19 0.00000000e+00)	(-1.22910961e-01 9.79512642e-19 0.00000000e+00)
1.5             	top_wall	(-1.17417922e-01 -5.06225289e-22 0.00000000e+00)	(-1.17417922e-01 -5.06225289e-22 0.00000000e+00)
1.5             	bot_wall	(-1.17417937e-01 9.90927775e-19 0.00000000e+00)	(-1.17417937e-01 9.90927775e-19 0.00000000e+00)
2               	top_wall	(-1.13901955e-01 -3.01681276e-22 0.00000000e+00)	(-1.13901955e-01 -3.01681276e-22 0.00000000e+00)
2               	bot_wall	(-1.13901967e-01 1.18917729e-18 0.00000000e+00)	(-1.13901967e-01 1.18917729e-18 0.00000000e+00)
2.5             	top_wall	(-1.11328173e-01 -1.99839555e-22 0.00000000e+00)	(-1.11328173e-01 -1.99839555e-22 0.00000000e+00)
2.5             	bot_wall	(-1.11328181e-01 1.51656647e-18 0.00000000e+00)	(-1.11328181e-01 1.51656647e-18 0.00000000e+00)
3               	top_wall	(-1.09322243e-01 -3.13879021e-22 0.00000000e+00)	(-1.09322243e-01 -3.13879021e-22 0.00000000e+00)
3               	bot_wall	(-1.09322248e-01 1.45049342e-18 0.00000000e+00)	(-1.09322248e-01 1.45049342e-18 0.00000000e+00)
3.5             	top_wall	(-1.07741697e-01 -3.39963980e-22 0.00000000e+00)	(-1.07741697e-01 -3.39963980e-22 0.00000000e+00)
3.5             	bot_wall	(-1.07741701e-01 1.57046448e-18 0.00000000e+00)	(-1.07741701e-01 1.57046448e-18 0.00000000e+00)
4               	top_wall	(-1.06531944e-01 -1.96049532e-22 0.00000000e+00)	(-1.06531944e-01 -1.96049532e-22 0.00000000e+00)
4               	bot_wall	(-1.06531946e-01 1.29040091e-18 0.00000000e+00)	(-1.06531946e-01 1.29040091e-18 0.00000000e+00)
4.5             	top_wall	(-1.05662624e-01 1.24748216e-22 0.00000000e+00)	(-1.05662624e-01 1.24748216e-22 0.00000000e+00)
4.5             	bot_wall	(-1.05662625e-01 1.28615087e-18 0.00000000e+00)	(-1.05662625e-01 1.28615087e-18 0.00000000e+00)
5               	top_wall	(-1.05090807e-01 -2.45270551e-22 0.00000000e+00)	(-1.05090807e-01 -2.45270551e-22 0.00000000e+00)
5               	bot_wall	(-1.05090807e-01 1.21007609e-18 0.00000000e+00)	(-1.05090807e-01 1.21007609e-18 0.00000000e+00)
5.5             	top_wall	(-1.04754536e-01 3.64069018e-23 0.00000000e+00)	(-1.04754536e-01 3.64069018e-23 0.00000000e+00)
5.5             	bot_wall	(-1.04754535e-01 1.57159904e-18 0.00000000e+00)	(-1.04754535e-01 1.57159904e-18 0.00000000e+00)
6               	top_wall	(-1.04589832e-01 3.65056855e-22 0.00000000e+00)	(-1.04589832e-01 3.65056855e-22 0.00000000e+00)
6               	bot_wall	(-1.04589830e-01 1.73094663e-18 0.00000000e+00)	(-1.04589830e-01 1.73094663e-18 0.00000000e+00)
6.5             	top_wall	(-1.04542099e-01 1.08356189e-22 0.00000000e+00)	(-1.04542099e-01 1.08356189e-22 0.00000000e+00)
6.5             	bot_wall	(-1.04542097e-01 1.67526977e-18 0.00000000e+00)	(-1.04542097e-01 1.67526977e-18 0.00000000e+00)
7               	top_wall	(-1.04568004e-01 2.28981627e-22 0.00000000e+00)	(-1.04568004e-01 2.28981627e-22 0.00000000e+00)
7               	bot_wall	(-1.04568002e-01 1.68469128e-18 0.00000000e+00)	(-1.04568002e-01 1.68469128e-18 0.00000000e+00)
7.5             	top_wall	(-1.04634938e-01 -1.13919180e-22 0.00000000e+00)	(-1.04634938e-01 -1.13919180e-22 0.00000000e+00)
7.5             	bot_wall	(-1.04634936e-01 1.61385578e-18 0.00000000e+00)	(-1.04634936e-01 1.61385578e-18 0.00000000e+00)
8               	top_wall	(-1.04719990e-01 2.44957226e-22 0.00000000e+00)	(-1.04719990e-01 2.44957226e-22 0.00000000e+00)
8               	bot_wall	(-1.04719988e-01 1.57828205e-18 0.00000000e+00)	(-1.04719988e-01 1.57828205e-18 0.00000000e+00)
8.5             	top_wall	(-1.04808281e-01 3.90434116e-22 0.00000000e+00)	(-1.04808281e-01 3.90434116e-22 0.00000000e+00)
8.5             	bot_wall	(-1.04808279e-01 1.61894671e-18 0.00000000e+00)	(-1.04808279e-01 1.61894671e-18 0.00000000e+00)
