# Wall shear stress
# Time          	patch           	min             	max             
0.5             	top_wall	(-1.06461065e-01 -6.41853210e-25 0.00000000e+00)	(-1.06461065e-01 -6.41853210e-25 0.00000000e+00)
0.5             	bot_wall	(-1.06460969e-01 1.32476935e-18 0.00000000e+00)	(-1.06460969e-01 1.32476935e-18 0.00000000e+00)
1               	top_wall	(-1.00436200e-01 3.96352948e-23 0.00000000e+00)	(-1.00436200e-01 3.96352948e-23 0.00000000e+00)
1               	bot_wall	(-1.00436216e-01 1.05676812e-18 0.00000000e+00)	(-1.00436216e-01 1.05676812e-18 0.00000000e+00)
1.5             	top_wall	(-9.79745013e-02 -1.70263823e-22 0.00000000e+00)	(-9.79745013e-02 -1.70263823e-22 0.00000000e+00)
1.5             	bot_wall	(-9.79745468e-02 1.04877261e-18 0.00000000e+00)	(-9.79745468e-02 1.04877261e-18 0.00000000e+00)
2               	top_wall	(-9.66322917e-02 -3.61017109e-22 0.00000000e+00)	(-9.66322917e-02 -3.61017109e-22 0.00000000e+00)
2               	bot_wall	(-9.66323478e-02 1.19577082e-18 0.00000000e+00)	(-9.66323478e-02 1.19577082e-18 0.00000000e+00)
2.5             	top_wall	(-9.60197575e-02 3.21868410e-22 0.00000000e+00)	(-9.60197575e-02 3.21868410e-22 0.00000000e+00)
2.5             	bot_wall	(-9.60198144e-02 1.09112713e-18 0.00000000e+00)	(-9.60198144e-02 1.09112713e-18 0.00000000e+00)
3               	top_wall	(-9.60583417e-02 -3.38774919e-22 0.00000000e+00)	(-9.60583417e-02 -3.38774919e-22 0.00000000e+00)
3               	bot_wall	(-9.60583942e-02 1.08675419e-18 0.00000000e+00)	(-9.60583942e-02 1.08675419e-18 0.00000000e+00)
3.5             	top_wall	(-9.64381466e-02 4.06724294e-22 0.00000000e+00)	(-9.64381466e-02 4.06724294e-22 0.00000000e+00)
3.5             	bot_wall	(-9.64381918e-02 1.28440173e-18 0.00000000e+00)	(-9.64381918e-02 1.28440173e-18 0.00000000e+00)
4               	top_wall	(-9.69948973e-02 -2.79242571e-22 0.00000000e+00)	(-9.69948973e-02 -2.79242571e-22 0.00000000e+00)
4               	bot_wall	(-9.69949346e-02 1.33724932e-18 0.00000000e+00)	(-9.69949346e-02 1.33724932e-18 0.00000000e+00)
4.5             	top_wall	(-9.76484190e-02 -3.73739863e-22 0.00000000e+00)	(-9.76484190e-02 -3.73739863e-22 0.00000000e+00)
4.5             	bot_wall	(-9.76484491e-02 1.70032080e-18 0.00000000e+00)	(-9.76484491e-02 1.70032080e-18 0.00000000e+00)
5               	top_wall	(-9.83384541e-02 3.89556256e-22 0.00000000e+00)	(-9.83384541e-02 3.89556256e-22 0.00000000e+00)
5               	bot_wall	(-9.83384783e-02 1.36637667e-18 0.00000000e+00)	(-9.83384783e-02 1.36637667e-18 0.00000000e+00)
5.5             	top_wall	(-9.90194732e-02 -3.74861336e-22 0.00000000e+00)	(-9.90194732e-02 -3.74861336e-22 0.00000000e+00)
5.5             	bot_wall	(-9.90194926e-02 1.58479900e-18 0.00000000e+00)	(-9.90194926e-02 1.58479900e-18 0.00000000e+00)
